premise_code,premise,address,premise_type,state,district
-1.0,,",",,,
2.0,PASAR BESAR IPOH,"JALAN LAKSAMANA,TAMAN JUBILEE,30300 IPOH, PERAK",Pasar Basah ,Perak,Kinta
3.0,JUSCO AYER KEROH,"LOT 4991,MUKIM BUKIT BARU,75450 LEBUH AYER KEROH, MELAKA",Pasar Raya / Supermarket,Melaka,Melaka Tengah
6.0,KEDAI RUNCIT TAFAZ MAJU PRESINT 9,"NO.5, JALAN P9B/1,PRESINT 9,62250 PUTRAJAYA",Kedai Runcit,W.P. Putrajaya,Wp Putrajaya
7.0,KEDAI RUNCIT SYAZ MAJU PRESINT 9,"NO.5, JALAN P9E/1,PRESINT 9,62250 PUTRAJAYA",Kedai Runcit,W.P. Putrajaya,Wp Putrajaya
8.0,PASAR MINI D'MART PRESINT 8,"BLOK A T00/U01,JALAN P8/D,PRESINT 8, 62000 PUTRAJAYA",Pasar Mini,W.P. Putrajaya,Wp Putrajaya
15.0,PASAR MINI KARIM,"NO, 7A,KAWASAN PASAR UTAN AJI,01000 KANGAR, PERLIS",Kedai Runcit,Perlis,Kangar
16.0,PASARAYA K-CERIA (KANGAR) SDN. BHD,"NO 3, 5, 7 & 9,JALAN KANGAR - ALOR SETAR SERIA B,01000 KANGAR, PERLIS",Pasar Raya / Supermarket,Perlis,Kangar
115.0,TAMPIN SHOPPING CENTRE,"NO 111,JALAN BESAR,73000 TAMPIN, NEGERI SEMBILAN.",Pasar Raya / Supermarket,Negeri Sembilan,Tampin
136.0,THE STORE ( PUDU PLAZA ),"UG & 1st FLOOR, PUDU PLAZA,JALAN DAVIS,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Cheras
141.0,HUDA GROCER,"LUCRATIVE BASE SDN. BHD.,NO.12-19 JALAN TERMINAL 1,PEKAN LAMA NILAI",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
149.0,RESTORAN SAPPHIRE INTAN,"PT 4686,TAMAN SEMARAK,71800 NILAI NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
155.0,KEDAI MAKANAN DAN MINUMAN HORIZON,"NO. 5759 & 5760,JALAN TS 2/1F TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
168.0,GIANT NILAI,"PT 6367,JALAN BBN 3/1PUTRA NILAI,71800 NILAI, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
176.0,LOTUS'S CHERAS,"NO. 2, JALAN MIDAH 2,TAMAN MIDAH,",Hypermarket,W.P. Kuala Lumpur,Cheras
179.0,RESTORAN AS-SALAM,"PT NO.20580,JALAN TS 2/1E TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
183.0,GIANT SUPERMARKET KELANA JAYA,"JALAN SS 6/3,PUSAT BANDAR KELANA JAYA,47301 PETALING JAYA, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling Jaya
186.0,KEE CHAI RESTORAN,"NO. 5796,TAMAN SEMARAK 2,71800 NILAI, NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
229.0,KEDAI MKN INDIA MUSLIM-M.SHALMA BEEVI,"NO.3839,JALAN RASAH JAYA 6/8 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Restoran India Muslim,Negeri Sembilan,Seremban
234.0,PASAR BASAH TUARAN,"PASAR BASAH TUARAN,89208 TUARAN, SABAH.,",Pasar Basah ,Sabah,Tuaran
239.0,FAMILY STORE RASAH JAYA,"NO. 3745 & 3746,JALAN RJ 6/12 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
248.0,KEDAI MKN MELAYU-RESTORAN ANJUNG SELERA,"NO.597,JALAN HARUAN 4/8 PUSAT PERNIAGAAN OAKLAND,70300 SEREMBAN, NEGERI SEMBILAN",Restoran Melayu,Negeri Sembilan,Seremban
253.0,MEDAN SELERA AEON SEREMBAN 2,"AEON SEREMBAN 2,70300 SEREMBAN, NEGERI SEMBILAN,",Medan Selera,Negeri Sembilan,Seremban
261.0,TESCO SEREMBAN 2,"NO. 1,JLN HARUAN 2 BKT KEPAYANG,70300 SEREMBAN NEGERI SEMBILAN",Hypermarket,Negeri Sembilan,Seremban
266.0,KEDAI MKN CINA-RESTORAN MELIDO,"NO.1,JALAN UTAM SINGH,70000 SEREMBAN NEGERI SEMBILAN",Restoran Cina,Negeri Sembilan,Seremban
