,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
0,The Hipster @ Taman Desa,4 200,Taman Desa,Condominium,5,2,6,1842 ,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall, Jogging Track",Kuala Lumpur
1,Segar Courts,2 300,Cheras,Condominium,3,1,2,1170 ,Partially Furnished,"Playground, Parking, Barbeque area, Security, Jogging Track, Swimming Pool, Gymnasium, Lift, Sauna",Kuala Lumpur
3,Sentul Point Suite Apartment,1 700,tul,Apartment,2,1,2,743 ,Partially Furnished,"Parking, Playground, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift",Kuala Lumpur
4,Arte Mont Kiara,1 299,Mont Kiara,Service Residence,1,1,1,494 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
5,Residensi Vista Wirajaya,1 500,tapak,Apartment,3,1,2,884 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall",Kuala Lumpur
6,Sky Meridien,2 900,tul,Service Residence,3,2,2,982 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
7,Arte Plus Jalan Ampang,1 550,Ampang,Service Residence,1,1,1,700 ,Fully Furnished,"Parking, Gymnasium, Playground, Security, Lift, Swimming Pool, Multipurpose hall",Kuala Lumpur
8,Nova I,1 400,mbut,Apartment,2,1,1,750 ,Fully Furnished,"Playground, Security, Parking, Lift, Swimming Pool",Kuala Lumpur
9,Sofiya Residences,1 350,Desa ParkCity,Condominium,3,1,2,862 ,Partially Furnished,"Playground, Security, Parking, Lift, Swimming Pool, Gymnasium",Kuala Lumpur
11,PV9 Residences @ Taman Melati,2 000,tapak,Service Residence,4,2,2,1100 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
12,Arte Plus Jalan Ampang,1 500,Ampang,Service Residence,1,1,1,700 ,Fully Furnished,"Gymnasium, Jogging Track, Playground, Parking, Security, Lift, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court",Kuala Lumpur
13,Maxim Citilights,1 300,tul,Service Residence,3,1,2,1009 ,Fully Furnished,"Minimart, Jogging Track, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Parking, Gymnasium, Sauna, Barbeque area",Kuala Lumpur
15,Legasi Kampong Bharu,3 200,City,Apartment,3,1,2,950 ,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
16,Legasi Kampong Bharu,3 200,City,Apartment,3,1,2,950 ,Fully Furnished,"Lift, Squash Court, Jogging Track, Gymnasium, Playground, Security, Tennis Court, Swimming Pool, Parking, Minimart, Sauna, Barbeque area, Multipurpose hall",Kuala Lumpur
17,Majestic Maxim,1 400,Cheras,Service Residence,2,2,2,650 ,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",Kuala Lumpur
18,Desa Villas,2 500,Wangsa Maju,Condominium,4,2,2,1784 ,Not Furnished,"Parking, Security, Lift, Gymnasium",Kuala Lumpur
19,East Side One Ampang Avenue,1 800,Ampang,Condominium,3,1,2,1100 ,Fully Furnished,"Gymnasium, Minimart, Tennis Court, Squash Court, Sauna, Security, Swimming Pool, Parking",Kuala Lumpur
20,Majestic Maxim,1 099,Cheras,Service Residence,2,1,2,650 ,Not Furnished,"Playground, Lift, Barbeque area, Security, Parking, Jogging Track, Gymnasium, Swimming Pool",Kuala Lumpur
21,Majestic Maxim,1 099,Cheras,Service Residence,2,1,2,650 ,Partially Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift",Kuala Lumpur
22,Majestic Maxim,1 199,Cheras,Service Residence,3,1,2,819 ,Not Furnished,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Lift",Kuala Lumpur
23,Majestic Maxim,1 100,Cheras,Service Residence,2,1,2,650 ,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool",Kuala Lumpur
25,Prisma Cheras,1 100,Cheras,Condominium,1,1,1,900 ,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",Kuala Lumpur
26,Menara Alpha,1 400,Wangsa Maju,Condominium,3,1,2,1140 ,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",Kuala Lumpur
27,Berlian Residence @ Setapak,1 500,tapak,Condominium,3,1,2,900 ,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",Kuala Lumpur
28,28 Dutamas,2 500,is Dutamas,Condominium,4,2,3,1500 ,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium",Kuala Lumpur
29,28 Dutamas,2 900,is Dutamas,Condominium,4,2,3,1719 ,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium",Kuala Lumpur
33,Flexus Signature Suites,1 500,Jalan Kuching,Studio,1,1,1,530 ,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium",Kuala Lumpur
34,Menjalara 18,2 400,Bandar Menjalara,Condominium,3,1,2,1316 ,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna",Kuala Lumpur
35,G Residence @ Desa Pandan,4 500,Desa Pandan,Service Residence,3,2,2,1539 ,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool",Kuala Lumpur
36,Greenpark,1 400,Old Klang Road,Condominium,3,1,2,1270 ,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area",Kuala Lumpur
37,Majestic Maxim,1 800,Cheras,Service Residence,3,1,2,819 ,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house",Kuala Lumpur
38,Baiduri Apartment (Desa Pandan),1 500,Desa Pandan,Apartment,3,1,2,950 ,Partially Furnished,"Security, Parking",Kuala Lumpur
39,Bennington Residences @ SkyArena,3 000,tapak,Condominium,3,2,2,1200 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court",Kuala Lumpur
40,Sri Putramas,1 600,Jalan Kuching,Condominium,3,1,2,1100 ,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking",Kuala Lumpur
43,3 Towers,2 500,Ampang Hilir,Condominium,2,1,1,890 ,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",Kuala Lumpur
44,One Maxim,1 300,tul,Service Residence,2,1,2,650 ,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",Kuala Lumpur
45,Casa Mutiara,2 000,Bukit Bintang,Service Residence,2,1,2,742 ,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",Kuala Lumpur
46,Sofiya Residences,2 000,Desa ParkCity,Condominium,3,1,2,862 ,Fully Furnished,"Security, Playground",Kuala Lumpur
47,Laman Tasik,2 100,Cheras,Condominium,4,1,3,1300 ,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",Kuala Lumpur
48,Residensi Seri Wahyu @ Jalan Kuching KL,1 300,City,Apartment,3,1,2,805 ,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",Kuala Lumpur
49,The Hamilton,2 600,Wangsa Maju,Condominium,4,2,2,1000 ,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",Kuala Lumpur
50,3 Towers,2 000,Ampang Hilir,Service Residence,1,1,1,440 ,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",Kuala Lumpur
51,Menjalara 18,2 500,Bandar Menjalara,Condominium,5,2,3,1600 ,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna",Kuala Lumpur
52,The Havre @ Bukit Jalil,2 500,Bukit Jalil,Condominium,3,2,2,1028 ,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court",Kuala Lumpur
66,Majestic Maxim,1 400,Cheras,Service Residence,2,2,2,650 ,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",Kuala Lumpur
67,D'Puncak Suasana,1 000,CC,Apartment,3,2,2,1000 ,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Kuala Lumpur
69,KL Traders Square Residences,1 400,Gombak,Service Residence,3,1,2,850 ,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground",Kuala Lumpur
70,Prisma Cheras,1 500,Cheras,Condominium,2,1,1,717 ,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
73,Maxim Citilights,1 300,tul,Service Residence,3,1,2,1150 ,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Kuala Lumpur
75,Banyan Tree,7 000,CC,Condominium,2,1,2,1076 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area",Kuala Lumpur
76,PPA1M Bukit Jalil,1 300,Bukit Jalil,Apartment,3,1,2,1000 ,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Kuala Lumpur
77,Taman Connaught,900,Cheras,Apartment,2,1,1,550 ,Partially Furnished,"Parking, Security, Lift, Playground, Jogging Track",Kuala Lumpur
78,Midah Ria,1 300,Cheras,Condominium,3,1,2,967 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",Kuala Lumpur
79,Sri Kenangan,2 500,Wangsa Maju,Condominium,4,1,2,1184 ,Partially Furnished,"Minimart, Barbeque area, Swimming Pool, Parking, Security, Playground",Kuala Lumpur
80,Faber Ria,1 300,Taman Desa,Condominium,2,1,2,1050 ,Partially Furnished,"Playground, Swimming Pool, Tennis Court, Squash Court, Minimart, Sauna, Club house, Parking, Security, Gymnasium, Barbeque area, Lift",Kuala Lumpur
81,Banyan Tree,7 800,CC,Condominium,2,1,2,1076 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
83,Villa Wangsamas,2 000,Wangsa Maju,Condominium,3,1,3,1267 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Kuala Lumpur
85,Central Residence @ Sg Besi,1 750,ungai Besi,Condominium,3,2,2,1121 ,Fully Furnished,"Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking",Kuala Lumpur
86,Unio Residence,2 000,pong,Apartment,2,1,2,872 ,Fully Furnished,"Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall",Kuala Lumpur
88,1 Petaling,1 100,ungai Besi,Condominium,3,1,2,904 ,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall",Kuala Lumpur
89,Residensi Seri Wahyu @ Jalan Kuching KL,1 300,City,Apartment,3,1,2,835 ,Fully Furnished,"Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area",Kuala Lumpur
91,Endah Villa,1 400,i Petaling,Condominium,3,1,2,1129 ,Fully Furnished,"Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house",Kuala Lumpur
92,Unio Residence,1 900,pong,Service Residence,2,1,2,1132 ,Partially Furnished,"Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall",Kuala Lumpur
94,PV9 Residences @ Taman Melati,2 100,tapak,Service Residence,3,2,2,1000 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart",Kuala Lumpur
95,Suasana Lumayan,1 550,Cheras,Condominium,4,1,2,1142 ,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift",Kuala Lumpur
96,Plaza Prima Setapak,1 400,tapak,Condominium,4,2,2,1300 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track",Kuala Lumpur
97,Residensi Vista Wirajaya,1 800,tapak,Apartment,3,1,2,884 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall",Kuala Lumpur
98,One Maxim,1 300,tul,Service Residence,3,1,2,819 ,Partially Furnished,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Kuala Lumpur
99,M Centura,2 500,tul,Service Residence,3,1,2,850 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground",Kuala Lumpur
100,PV9 Residences @ Taman Melati,2 300,tapak,Service Residence,3,2,2,1000 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area",Kuala Lumpur
101,Majestic Maxim,1 350,Cheras,Service Residence,2,1,1,650 ,Partially Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security",Kuala Lumpur
102,Residensi KepongMas,1 100,pong,Apartment,3,2,2,800 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Kuala Lumpur
103,Bayu Sentul Condominium,1 700,tul,Condominium,3,2,2,1300 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
104,Vista Angkasa,1 800,Bangsar South,Apartment,3,1,2,1200 ,Partially Furnished,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court",Kuala Lumpur
105,The Nest Residence @ Genting Klang,1 600,tapak,Service Residence,3,1,2,770 ,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Kuala Lumpur
106,Sky Awani 3 Residence Setpak,1 600,tapak,Service Residence,3,2,2,800 ,Fully Furnished,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area",Kuala Lumpur
107,M Centura,1 650,tul,Service Residence,3,2,2,850 ,Partially Furnished,Parking,Kuala Lumpur
108,M Centura,1 200,tul,Service Residence,2,1,1,646 ,Not Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",Kuala Lumpur
109,OG Heights,1 200,Pantai,Condominium,2,1,2,1000 ,Partially Furnished,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart",Kuala Lumpur
110,8 Petaling,2 599,i Petaling,Condominium,4,3,5,1899 ,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court",Kuala Lumpur
111,Delima J Apartment,1 400,Desa Pandan,Apartment,3,1,2,1000 ,Partially Furnished,"Playground, Security, Parking",Kuala Lumpur
113,The Nest Residence @ Genting Klang,900,tapak,Service Residence,1,1,1,360 ,Fully Furnished,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",Kuala Lumpur
114,Hedgeford 10 Residences @ Wangsa Maju,1 200,Wangsa Maju,Service Residence,1,1,1,521 ,Partially Furnished,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking",Kuala Lumpur
115,The Establishment,2 500,Brickfields,Service Residence,1,1,1,468 ,Fully Furnished,Parking,Kuala Lumpur
116,The Henge Kepong,2 200,pong,Condominium,3,2,2,1100 ,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house",Kuala Lumpur
117,Sofiya Residences,2 300,Desa ParkCity,Condominium,3,1,2,862 ,Fully Furnished,"Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool",Kuala Lumpur
118,Suasana Lumayan,1 500,Cheras,Condominium,4,1,2,1142 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
119,Vista Komanwel A,1 600,Bukit Jalil,Condominium,3,2,2,1224 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
121,Lakeville Residence,1 900,Jalan Ipoh,Condominium,3,2,2,1193 ,Partially Furnished,"Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Kuala Lumpur
122,Arte Plus Jalan Ampang,2 100,Ampang,Service Residence,3,2,2,1200 ,Fully Furnished,"Parking, Gymnasium, Jogging Track, Playground, Security, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Tennis Court",Kuala Lumpur
124,Residensi Alam Damai (PR1MA @ Alam Damai),1 300,Cheras,Apartment,3,1,3,935 ,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",Kuala Lumpur
125,Platinum OUG Residence,1 450,chai Lama,Condominium,3,1,2,1100 ,Partially Furnished,"Security, Playground, Gymnasium, Lift, Parking",Kuala Lumpur
126,Residensi Pandanmas 1,1 500,Desa Pandan,Apartment,3,1,2,900 ,Partially Furnished,"Minimart, Gymnasium, Lift, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area, Multipurpose hall",Kuala Lumpur
128,First Residence,1 600,pong,Condominium,3,1,2,1070 ,Partially Furnished,"Barbeque area, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Jogging Track",Kuala Lumpur
130,Regalia Residence,2 000,Jalan Sultan Ismail,Service Residence,1,1,1,560 ,Fully Furnished,"Parking, Playground, Swimming Pool, Squash Court, Gymnasium",Kuala Lumpur
132,Unio Residence,2 200,pong,Apartment,2,1,2,866 ,Fully Furnished,"Jogging Track, Security, Swimming Pool, Tennis Court, Lift, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Gymnasium",Kuala Lumpur
133,Legasi Kampong Bharu,3 300,City,Apartment,3,1,2,950 ,Fully Furnished,"Gymnasium, Parking, Playground, Security, Minimart, Squash Court, Lift, Swimming Pool, Tennis Court, Jogging Track",Kuala Lumpur
138,Bayu Tasik 2,1 500,Cheras,Condominium,3,1,2,1000 ,Fully Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track",Kuala Lumpur
139,Platinum Oug Residence,1 650,Bukit Jalil,Condominium,3,1,2,1200 ,Fully Furnished,"Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall, Minimart, Jogging Track, Swimming Pool, Gymnasium",Kuala Lumpur
140,M Centura,2 500,tul,Service Residence,3,1,2,850 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",Kuala Lumpur
146,Impian Kota,1 500,City,Apartment,3,1,2,1100 ,Partially Furnished,Parking,Kuala Lumpur
147,Desa Dua Aman Puri,850,pong,Apartment,3,1,2,850 ,Not Furnished,"Security, Minimart, Jogging Track, Parking, Swimming Pool, Lift, Playground",Kuala Lumpur
149,Kepong Sentral Condominium,999,pong,Condominium,3,1,2,962 ,Not Furnished,"Security, Minimart, Playground, Squash Court, Jogging Track, Lift, Parking, Swimming Pool, Tennis Court, Gymnasium",Kuala Lumpur
151,The Hipster @ Taman Desa,2 100,Taman Desa,Condominium,3,2,2,925 ,Fully Furnished,"Security, Minimart, Swimming Pool, Squash Court, Lift, Parking, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall",Kuala Lumpur
153,Sentrio Suites,1 550,Desa Pandan,Service Residence,1,1,1,570 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Kuala Lumpur
156,PV9 Residences @ Taman Melati,2 499,tapak,Service Residence,4,3,2,1100 ,Partially Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Minimart, Gymnasium",Kuala Lumpur
157,Bukit Pandan 2,1 450,Cheras,Condominium,3,1,2,1150 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track",Kuala Lumpur
160,Majestic Maxim,1 750,Cheras,Service Residence,3,1,2,819 ,Partially Furnished,"Swimming Pool, Jogging Track, Barbeque area, Security, Playground, Lift, Parking, Gymnasium, Sauna, Minimart, Multipurpose hall",Kuala Lumpur
161,EkoCheras Service Apartment,1 800,Cheras,Service Residence,1,1,2,762 ,Partially Furnished,"Minimart, Barbeque area, Parking, Swimming Pool, Gymnasium, Lift, Sauna, Playground, Security, Jogging Track",Kuala Lumpur
162,Apartment Sentul,1 700,tul,Apartment,2,1,2,743 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
163,Camellia,2 200,Bangsar South,Condominium,1,1,1,638 ,Fully Furnished,"Club house, Playground, Parking, Security, Swimming Pool",Kuala Lumpur
164,Bayu @ Pandan Jaya,1 700,Pandan Jaya,Condominium,3,1,2,1072 ,Partially Furnished,"Parking, Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Club house",Kuala Lumpur
165,Casa Green (Bukit Jalil),2 000,Bukit Jalil,Condominium,4,1,2,900 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",Kuala Lumpur
166,10 Semantan,1 948,Damansara Heights,Service Residence,2,1,2,990 ,Fully Furnished,"Parking, Sauna, Security, Gymnasium, Minimart, Swimming Pool, Barbeque area, Lift, Playground",Kuala Lumpur
167,Impiana Sky Residensi,1 300,Bukit Jalil,Apartment,3,1,2,850 ,Partially Furnished,"Security, Playground, Multipurpose hall, Parking, Lift",Kuala Lumpur
168,M Vertica,2 200,Cheras,Condominium,3,2,2,850 ,Fully Furnished,"Security, Playground, Swimming Pool, Parking, Tennis Court, Jogging Track, Lift, Barbeque area, Multipurpose hall, Gymnasium, Sauna, Minimart",Kuala Lumpur
169,Damai Hillpark,1 600,Bandar Damai Perdana,Service Residence,3,2,2,1020 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",Kuala Lumpur
171,Platinum Lake PV 13,2 400,tapak,Condominium,3,2,2,1313 ,Partially Furnished,"Parking, Minimart, Club house, Swimming Pool, Sauna, Security, Playground, Gymnasium, Barbeque area",Kuala Lumpur
176,Vina Versatile Homes,1 400,Cheras,Studio,1,1,1,450 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium, Jogging Track, Tennis Court",Kuala Lumpur
179,Residensi Jalilmas,1 000,Bukit Jalil,Apartment,3,1,2,800 ,Partially Furnished,"Parking, Minimart, Multipurpose hall, Security, Lift",Kuala Lumpur
180,Sri Putramas,1 500,Jalan Kuching,Condominium,3,1,2,1100 ,Partially Furnished,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",Kuala Lumpur
181,Sri Putramas,1 600,Jalan Kuching,Condominium,3,1,2,1100 ,Fully Furnished,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",Kuala Lumpur
182,Pangsapuri Melur (Sentul),1 400,tul,Apartment,3,1,2,650 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Tennis Court",Kuala Lumpur
183,Platinum OUG Residence,1 800,chai Lama,Condominium,3,1,2,1200 ,Fully Furnished,"Playground, Security, Lift, Parking",Kuala Lumpur
185,Majestic Maxim,1 488,Cheras,Service Residence,3,1,2,819 ,Partially Furnished,"Lift, Playground, Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Jogging Track",Kuala Lumpur
187,Danau Kota Suite Apartments,2 200,tapak,Apartment,3,1,2,829 ,Fully Furnished,"Playground, Security, Minimart, Jogging Track, Parking, Swimming Pool, Gymnasium, Lift",Kuala Lumpur
188,Anjung Hijau,1 400,Bukit Jalil,Condominium,2,1,2,980 ,Fully Furnished,"Minimart, Playground, Security, Barbeque area, Parking, Jogging Track, Lift",Kuala Lumpur
189,Sri Putramas,1 500,Jalan Kuching,Condominium,3,2,2,1100 ,Fully Furnished,"Playground, Sauna, Security, Parking, Tennis Court, Barbeque area, Gymnasium, Minimart, Swimming Pool, Lift",Kuala Lumpur
192,Sri Pelangi (Jalan Genting Kelang),1 200,tapak,Condominium,3,1,2,931 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
193,Taman Miharja Apartment (LRT Miharja),1 500,Cheras,Apartment,3,1,2,950 ,Partially Furnished,Parking,Kuala Lumpur
199,Kenari Apartment (Taman Melati),1 600,tapak,Apartment,3,1,2,900 ,Fully Furnished,"Parking, Security, Playground",Kuala Lumpur
201,Suasana Lumayan,1 600,Cheras,Condominium,4,1,2,1142 ,Partially Furnished,"Gymnasium, Security, Minimart, Playground, Sauna",Kuala Lumpur
202,"The Park 2, Pavilion Bukit Jalil",3 200,Bukit Jalil,Service Residence,2,1,2,750 ,Fully Furnished,"Swimming Pool, Security, Gymnasium, Playground, Lift, Parking, Minimart",Kuala Lumpur
208,TR Residence,2 500,Titiwangsa,Service Residence,3,1,2,850 ,Fully Furnished,"Barbeque area, Security, Playground, Gymnasium, Swimming Pool, Jogging Track, Multipurpose hall",Kuala Lumpur
209,Majestic Maxim,1 300,Cheras,Service Residence,2,1,2,650 ,Partially Furnished,"Gymnasium, Playground, Swimming Pool, Jogging Track, Parking, Security, Barbeque area, Lift",Kuala Lumpur
210,Genting Court Condominium,1 100,tapak,Condominium,3,1,2,820 ,Partially Furnished,"Minimart, Parking, Security, Lift, Swimming Pool, Playground, Club house, Tennis Court",Kuala Lumpur
