,Property_name,monthly_rent(RM),location,property_type,rooms,parking,bathroom,size(sq.ft),furnish_info,facilities,region
7232,Sentul Point Suite Apartment,1 550,tul,Service Residence,3,1,2,1002 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7233,Desarina Condominium,1 600,Taman Desa,Condominium,3,1,2,1337 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Tennis Court, Squash Court",Kuala Lumpur
7237,United Point Residence @ North Kiara,2 000,pong,Service Residence,3,2,2,958 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart",Kuala Lumpur
7238,Parkhill Residence Bukit Jalil,2 800,Bukit Jalil,Condominium,3,1,2,1100 ,Partially Furnished,"Security, Playground, Lift, Parking, Squash Court, Club house, Minimart, Gymnasium, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court",Kuala Lumpur
7240,Ketumbar Heights,1 100,Cheras,Condominium,3,1,2,755 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Kuala Lumpur
7242,The Holmes,1 550,Cheras,Condominium,3,2,2,1000 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Multipurpose hall",Kuala Lumpur
7243,M City,1 900,City,Service Residence,1,1,2,910 ,Fully Furnished,"Minimart, Barbeque area, Parking, Security, Swimming Pool, Squash Court, Jogging Track, Lift, Playground, Gymnasium, Sauna",Kuala Lumpur
7244,The Holmes,550,Cheras,Condominium,4,2,2,1000 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Club house",Kuala Lumpur
7245,Sentul Utama Condominium,1 200,tul,Condominium,3,1,2,877 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7246,The Holmes,700,Cheras,Condominium,4,2,2,1000 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall",Kuala Lumpur
7248,THE FENNEL AT SENTUL EAST,2 200,tul,Condominium,2,1,2,901 ,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Kuala Lumpur
7250,The Holmes,1 600,Cheras,Condominium,3,2,2,1018 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
7252,Setia SKY Residences,4 000,CC,Condominium,4,2,3,1200 ,Fully Furnished,"Security, Playground, Parking, Barbeque area, Minimart, Swimming Pool, Gymnasium, Club house, Lift",Kuala Lumpur
7256,Maxim Citilights,1 600,tul,Service Residence,3,1,2,1009 ,Partially Furnished,"Minimart, Security, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Parking, Lift, Sauna, Gymnasium",Kuala Lumpur
7258,Pertiwi Indah,1 600,Cheras,Condominium,3,1,2,1285 ,Partially Furnished,"Parking, Security, Playground, Lift, Swimming Pool, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",Kuala Lumpur
7259,The Mark,2 500,Cheras,Service Residence,3,2,2,1166 ,Fully Furnished,"Security, Playground, Gymnasium, Jogging Track, Multipurpose hall, Barbeque area, Sauna, Parking, Club house, Lift, Swimming Pool, Minimart",Kuala Lumpur
7260,Abadi Villa,1 850,Taman Desa,Condominium,3,1,2,1240 ,Fully Furnished,"Parking, Sauna, Barbeque area, Playground, Swimming Pool, Gymnasium, Tennis Court, Security, Lift, Club house, Multipurpose hall",Kuala Lumpur
7261,CitiZen,2 100,Old Klang Road,Service Residence,3,2,2,1095 ,Fully Furnished,"Swimming Pool, Sauna, Parking, Playground, Gymnasium, Security, Jogging Track, Barbeque area, Multipurpose hall",Kuala Lumpur
7262,Jalil Damai,1 500,Bukit Jalil,Apartment,3,1,2,1100 ,Partially Furnished,"Security, Minimart, Swimming Pool, Squash Court, Parking, Playground, Gymnasium",Kuala Lumpur
7263,Majestic Maxim,900,Cheras,Service Residence,3,1,2,820 ,Partially Furnished,"Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Security, Swimming Pool, Lift, Minimart, Multipurpose hall",Kuala Lumpur
7265,Pearl Suria,2 200,Old Klang Road,Condominium,3,1,2,1220 ,Fully Furnished,"Security, Playground, Jogging Track, Sauna, Multipurpose hall, Swimming Pool, Gymnasium, Barbeque area, Parking, Lift",Kuala Lumpur
7267,Changkat View Condominium,1 400,is Dutamas,Condominium,2,1,1,630 ,Fully Furnished,"Minimart, Swimming Pool, Jogging Track, Lift, Parking, Security, Playground, Gymnasium, Sauna, Squash Court, Barbeque area, Multipurpose hall, Club house",Kuala Lumpur
7268,M Vertica,2 999,Cheras,Condominium,4,2,2,1030 ,Fully Furnished,"Playground, Jogging Track, Parking, Lift, Security, Swimming Pool, Gymnasium, Minimart",Kuala Lumpur
7269,Majestic Maxim,900,Cheras,Service Residence,3,1,2,820 ,Partially Furnished,"Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Security, Swimming Pool, Lift, Minimart, Club house, Multipurpose hall, Tennis Court",Kuala Lumpur
7270,East Parc @ Manjalara,1 899,pong,Service Residence,3,2,2,1160 ,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Jogging Track",Kuala Lumpur
7271,The Park Sky Residence @ Bukit Jalil City,2 600,Bukit Jalil,Service Residence,2,2,2,868 ,Fully Furnished,"Playground, Security, Swimming Pool, Multipurpose hall, Parking",Kuala Lumpur
7272,Sentul Point Suite Apartment,1 390,tul,Apartment,3,1,2,876 ,Not Furnished,"Parking, Playground, Squash Court, Security, Swimming Pool, Minimart, Gymnasium",Kuala Lumpur
7273,Platinum Splendor Residensi Semarak,1 800,mat,Condominium,3,1,2,882 ,Fully Furnished,"Lift, Parking, Security, Sauna",Kuala Lumpur
7274,Abadi Villa,1 950,Taman Desa,Condominium,3,1,2,1240 ,Fully Furnished,"Gymnasium, Sauna, Tennis Court, Parking, Security, Playground, Swimming Pool, Barbeque area, Lift, Minimart, Multipurpose hall",Kuala Lumpur
7275,Tivoli Villas,2 300,Bangsar,Condominium,2,1,2,1300 ,Partially Furnished,"Swimming Pool, Barbeque area, Parking, Minimart, Tennis Court, Squash Court, Playground, Security, Gymnasium, Sauna, Lift, Multipurpose hall",Kuala Lumpur
