Title,Price,Area,Category,Size,Bedrooms,Bathrooms
NEAR LRT FURNISHED Suria Jelatek Residence Jalan Ampang KL,RM 469 000,AMPANG,Apartments,908 sq.ft.,3 Bedrooms,2 Bathrooms
"OFFER Rm100 BOOKING,CASH BACK Rm40000,TITIWANGSA RESORT CONDO,NEAR HKL",RM 530 000,AMPANG,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
SMART LIVING HOME Mutiara Merdeka Condominium Ampang Kuala Lumpur,RM 650 000,AMPANG,Apartments,1390 sq.ft.,4 Bedrooms,3 Bathrooms
"Impiana condo Ampang, Duplex Corner Penthouse",RM 1 780 000,AMPANG,Apartments,3735 sq.ft.,5 Bedrooms,5 Bathrooms
FULL LOANCASH BACK SemiFurnish 705sf The Elements Condo Ampang KL City,RM 445 000,AMPANG,Apartments,705 sq.ft.,1 Bedroom,1 Bathroom
BrandNew Complete Hon Residence Ampang 3R3B 5MIN To KLCC Cashback 120K,RM 630 000,AMPANG,Apartments,1335 sq.ft.,3 Bedrooms,3 Bathrooms
Impression U Thant U-Thant 931sf Condo Unit for SALE KL City,RM 1 650 000,AMPANG,Apartments,931 sq.ft.,3 Bedrooms,2 Bathrooms
"Impression U-Thant U Thant Studio Unit for SALE, KL City, Jalan Ampang",RM 1 388 000,AMPANG,Apartments,728 sq.ft.,1 Bedroom,1 Bathroom
"FULLY FURNISHED Tiara Ampang Condominium, Jalan Ampang 1217sqft",RM 500 000,AMPANG,Apartments,1217 sq.ft.,3 Bedrooms,2 Bathrooms
"Near Tesco Ampang, Sri Angsana Hilir, Desa pandan, Ampang Hilir",RM 300 000,AMPANG,Apartments,1226 sq.ft.,3 Bedrooms,2 Bathrooms
"Good Invest/Ownstay KLCC Project,Easy to LRT/MRT Station Monthly RM800",RM 200 000,AMPANG,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
LOW BOOKING Fully Furnished Studio Megan Ambassy KL City Centre,RM 350 000,AMPANG,Apartments,385 sq.ft.,1 Bedroom,1 Bathroom
RENO CANTIK Seri Maya Condo Jelatek Near LRT Setiawangsa 1km to KLCC,RM 690 000,AMPANG,Apartments,1325 sq.ft.,3 Bedrooms,2 Bathrooms
