Title,Price,Area,Category,Size,Bedrooms,Bathrooms
[Lowest Price PSF] Bukit Jalil Below Market Value Condo,RM 500 000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
"[ 0 DP ] [ Full Loan ] Mutiara Serdang 3R2b, Free All Fee , Bln 1200++",RM 330 000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
The Rainz Condo 4r3b2c f/f near lrt muhibbah for sale (best deal),RM 943 000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
FACING GOLF Service Apartment Berjaya Link 2 Bukit Jalil KL,RM 950 000,BUKITJALIL,Apartments,1216 sq.ft.,3 Bedrooms,2 Bathrooms
"Parkhill residence, bukit jalil [ NEW+ BELOW MARKET ]",RM 475 000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"BUKIT JALIL CONDO, Golf view, FREEHOLD, 1320sf, 3 ROOM, Pavilion 2",RM 850 000,BUKITJALIL,Apartments,1320 sq.ft.,3 Bedrooms,3 Bathrooms
"BUKIT JALIL CONDO, FREEHOLD, Golf view, 2 ROOM, 2 CAR PARK, Pavilion 2",RM 540 000,BUKITJALIL,Apartments,730 sq.ft.,2 Bedrooms,2 Bathrooms
"【Stamp Duty Free, 100% Loan】 Jalil Damai , Pavilion 2 Bukit Jalil",RM 393 000,BUKITJALIL,Apartments,925 sq.ft.,3 Bedrooms,2 Bathrooms
CORNER UNIT NEAR LRT | Casa Green Condominium Bukit Jalil Kuala Lumpur,RM 500 000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
Bukit Jalil [Luxury Semi-D] 1400sf 4R+3B /Below Market Full Furniture,RM 340 000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
Kiara Residence 1 Bukit Jalil KL 1050sf 3Rooms LEASEHOLD BELOW MARKET,RM 540 000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"The Link 2 Bukit Jalil Golf View Near Pavillion 2, stadium, IMU, TPM",RM 815 000,BUKITJALIL,Apartments,1218 sq.ft.,3 Bedrooms,2 Bathrooms
Kiara Residence 2 Bukit Jalil Below Market Price,RM 665 000,BUKITJALIL,Apartments,1400 sq.ft.,4 Bedrooms,3 Bathrooms
"Kiara Residence 2 Near LRT, OUG, Pavillion 2, OUG, Bukit Jalil",RM 540 000,BUKITJALIL,Apartments,1073 sq.ft.,3 Bedrooms,2 Bathrooms
"Bukit Jalil Kiara Residence 2 Near LRT, Pavillion 2, OUG, sri petaling",RM 630 000,BUKITJALIL,Apartments,1239 sq.ft.,4 Bedrooms,3 Bathrooms
"Anjung hijau greenfields apartment, bukit jalil (golf course view)",RM 380 000,BUKITJALIL,Apartments,994 sq.ft.,2 Bedrooms,2 Bathrooms
"KM1 West Condo, 1355sf, Bukit Jalil, 2 Parking",RM 747 000,BUKITJALIL,Apartments,1455 sq.ft.,4 Bedrooms,3 Bathrooms
"Renovated The Andes Condo, Bukit Jalil",RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"BUkit OUG Condo, Near LRT, Bukit Jalil",RM 240 000,BUKITJALIL,Apartments,775 sq.ft.,1 Bedroom,1 Bathroom
"BUkit OUG Condo, Near LRT, Bukit Jalil",RM 230 000,BUKITJALIL,Apartments,775 sq.ft.,1 Bedroom,1 Bathroom
"The havre, bukit jalil [ READY MOVE IN+ BELOW MARKET PRICE ]",RM 520 000,BUKITJALIL,Apartments,1023 sq.ft.,3 Bedrooms,3 Bathrooms
"The havre, bukit jalil city [ BRAND NEW+BL MARKET ]",RM 510 000,BUKITJALIL,Apartments,1023 sq.ft.,3 Bedrooms,3 Bathrooms
Bukit OUG Condominium Bukit Jalil For Sale,RM 360 000,BUKITJALIL,Apartments,1200 sq.ft.,3 Bedrooms,2 Bathrooms
"Green avenue condominium, bukit jalil, kuala lumpur",RM 440 000,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
"Apartment LTAT Block C, Taman LTAT, Jalan Bukit Jalil Indah 1",RM 235 000,BUKITJALIL,Apartments,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Vista Kommanel A condo, Jalan Jalil Perkasa,19,KL",RM 455 000,BUKITJALIL,Apartments,1206 sq.ft.,3 Bedrooms,2 Bathrooms
[ 2 Parking & F/Hold] The Andes Condo Kinrara Puchong Bukit Jalil,RM 605 000,BUKITJALIL,Apartments,1350 sq.ft.,3 Bedrooms,3 Bathrooms
Anjung Hijau Apartment / Greenfields Apartment Bukit Jalil,RM 555 000,BUKITJALIL,Apartments,994 sq.ft.,3 Bedrooms,2 Bathrooms
"The Sanderson, Bukit Serdang, Duplex Below Market Cashback 50k Reno",RM 640 000,BUKITJALIL,Apartments,2000 sq.ft.,3 Bedrooms,3 Bathrooms
Price Guarantee Green Avenue Condo at bukit jalil,RM 399 998,BUKITJALIL,Apartments,1080 sq.ft.,4 Bedrooms,2 Bathrooms
"{ Ready Move In } Mutiara Serdang 3R2B , 100% Full Loan , Free All Fee",RM 330 000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Bukit Jalil Freehold Apartment Fully Furnish near LRT,RM 345 000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Apartment Bukit Jalil KL Stadium LRT 100%Loan BELOW MARKET,RM 290 000,BUKITJALIL,Apartments,879 sq.ft.,3 Bedrooms,2 Bathrooms
Walking Distance 150M LRT)New Pre Launching Condo In KL 62+facilities,RM 220 000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
"The Z Residence Bukit Jalil, Kuala Lumpur",RM 750 000,BUKITJALIL,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
Parkhill Residence Bukit Jalil,RM 780 000,BUKITJALIL,Apartments,1300 sq.ft.,4 Bedrooms,2 Bathrooms
City Of Green (4 Bed+3 Bath),RM 437 400,BUKITJALIL,Apartments,1200 sq.ft.,4 Bedrooms,3 Bathrooms
|100% LOAN| Next Hotspot Bukit Jalil AnjungHijau Golf View,RM 438 000,BUKITJALIL,Apartments,1000 sq.ft.,2 Bedrooms,2 Bathrooms
"{ Bulanan 1200++ 0%DP } Mutiara Serdang , Refurbished Unit , FULL Loan",RM 330 000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
Duplex Penthouse for Sale in Vista Komanvel A2 Bukit Jalil,RM 700 000,BUKITJALIL,Apartments,2486 sq.ft.,5 Bedrooms,3 Bathrooms
PRIVATE LIFT 1325sft The Andes condominium Bukit jalil,RM 615 000,BUKITJALIL,Apartments,1325 sq.ft.,3 Bedrooms,3 Bathrooms
Below Market Value + Near To LRT | Vista Komanwel Condo,RM 419 000,BUKITJALIL,Apartments,1224 sq.ft.,3 Bedrooms,2 Bathrooms
"[Hot Area] Apartment at Taman LTAT, Bukit Jalil, Kuala Lumpur",RM 290 000,BUKITJALIL,Apartments,915 sq.ft.,3 Bedrooms,2 Bathrooms
"(GOLF COURSE VIEW)- Anjung Hijau Greenfields Apartment, Bukit Jalil",RM 380 000,BUKITJALIL,Apartments,994 sq.ft.,2 Bedrooms,2 Bathrooms
Link 2 Residence Bukit Jalil walking distance LRT fully furnish,RM 530 000,BUKITJALIL,Apartments,667 sq.ft.,2 Bedrooms,1 Bathroom
"Og height condo ,jalan awan Cina,Bukit Jalil",RM 295 000,BUKITJALIL,Apartments,935 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEST CORNET UNIT RENOVATED Casa Green Condominium Bukit Jalil 3B3B,RM 500 000,BUKITJALIL,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
"Renovated anjung hijau greenfields apartment, bukit jalil",RM 499 000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"{ Bulanan 1200++ } Mutiara Serdang , Full Loan , FREE ALL FEE , 0% DP",RM 330 000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
3km to KLCC Walking Distance 150M LRT ,RM 220 000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
Hilltop Spacious Layout Condo From RM1100/Month,RM 320 000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
The Z Residence KLCC View 2 Parkings,RM 688 168,BUKITJALIL,Apartments,1404 sq.ft.,3 Bedrooms,2 Bathrooms
2 parking 1231sft Kinrara Mas Bukit Jalil FREEHOLD PUCHONG BUKIT OUG,RM 428 000,BUKITJALIL,Apartments,1231 sq.ft.,3 Bedrooms,2 Bathrooms
"{ Bln 1200++ | Full Loan } Mutiara Serdang , FREE LEGAL , 500 Booking",RM 330 000,BUKITJALIL,Apartments,916 sq.ft.,3 Bedrooms,2 Bathrooms
"Free hold renovated unit bukit jalil, old klang road",RM 385 000,BUKITJALIL,Apartments,1000 sq.ft.,2 Bedrooms,2 Bathrooms
"FREEHOLD The Andes Condo, Bukit Jalil",RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
[💥STRATA READY💥] Blok B Apartment Sri Rakyat Bukit Jalil,RM 240 000,BUKITJALIL,Apartments,667 sq.ft.,3 Bedrooms,2 Bathrooms
Residensi park condominium for sale near puchong cheras old klang road,RM 950 000,BUKITJALIL,Apartments,1103 sq.ft.,3 Bedrooms,2 Bathrooms
"Kinrara Mas Condominium, Bukit Jalil",RM 390 000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
Kinrara Mas Jalan Puchong Bukit Jalil Below Market Value,RM 370 000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
"Kinrara Mas Condo, Puchong, Bukit Jalil, Kinrara, Bandar Kinrara",RM 390 000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
The Rainz Condo Bukit Jalil High Floor Partly Furnished,RM 1 050 000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
"Sri rakyat apartment, bukit jalil Kuala Lumpur, block a",RM 230 000,BUKITJALIL,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
Arena Green Bukit Jalil Freehold Apartment Fully Furnish 3aircond,RM 345 000,BUKITJALIL,Apartments,898 sq.ft.,3 Bedrooms,2 Bathrooms
{NEW} Bukit Jalil 4 Rooms Freehold Condo MRT LRT Sri Petaling,RM 520 000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Parkhill bukit jalil fully furished well kept coner unit balcony,RM 698 000,BUKITJALIL,Apartments,1300 sq.ft.,4 Bedrooms,2 Bathrooms
"Below market Savanna Condominium, Bukit Jalil",RM 590 000,BUKITJALIL,Apartments,1212 sq.ft.,4 Bedrooms,2 Bathrooms
"Denai sutera apartment, bukit jalil",RM 695 000,BUKITJALIL,Apartments,1141 sq.ft.,3 Bedrooms,2 Bathrooms
KLCC/TRX area installment 800,RM 220 000,BUKITJALIL,Apartments,300 sq.ft.,1 Bedroom,1 Bathroom
Jalil Damai Apartment Bukit Jalil For Sales,RM 450 000,BUKITJALIL,Apartments,935 sq.ft.,3 Bedrooms,2 Bathrooms
[MURAH] CORNER UNIT NEAR LRT Endah Promenade condo Bukit Jalil KL,RM 450 000,BUKITJALIL,Apartments,1279 sq.ft.,4 Bedrooms,3 Bathrooms
0% DownPayment\FREEHOLD Condo near Bukit Jalil (Full Loan) 1198sqft,RM 431 081,BUKITJALIL,Apartments,1198 sq.ft.,3 Bedrooms,2 Bathrooms
[Investor First Choice] Free Instalment ,RM 275 000,BUKITJALIL,Apartments,600 sq.ft.,2 Bedrooms,2 Bathrooms
The Andes Condo Bukit Jalil,RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"[BIG TERRACE & RENOVATED] Kinrara Mas Condo, Bukit Jalil",RM 585 000,BUKITJALIL,Apartments,1688 sq.ft.,4 Bedrooms,2 Bathrooms
Full loan- arena green bukit jalil (renovated),RM 319 000,BUKITJALIL,Apartments,780 sq.ft.,2 Bedrooms,2 Bathrooms
[RARE UNIT] KINRARA MAS - 2 CARPARK bukit jalil,RM 460 000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
Fmco price drop- jalil damai apartment bukit jalil,RM 410 000,BUKITJALIL,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated unit with high security,RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
【HOC】0% Down Payment (FULL LOAN) Condo Mrt near Astro Bukit Jalil,RM 330 000,BUKITJALIL,Apartments,915 sq.ft.,3 Bedrooms,2 Bathrooms
Savanna Condominium,RM 650 000,BUKITJALIL,Apartments,1216 sq.ft.,4 Bedrooms,3 Bathrooms
"{ 105% F.Loan + Free ALL Fee } Mutiara Serdang 4r2b , Walk 5min MRT",RM 330 000,BUKITJALIL,Apartments,1378 sq.ft.,4 Bedrooms,2 Bathrooms
"Facing Golf Course Unit, Anjung Hijau Greenfields Apartment",RM 450 000,BUKITJALIL,Apartments,998 sq.ft.,2 Bedrooms,2 Bathrooms
Renovated Unit at Anjung Hijau Greenfields,RM 500 000,BUKITJALIL,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Paling Murah - Near LRT & KL View - Savanna Condominium Bukit Jalil,RM 590 000,BUKITJALIL,Apartments,1212 sq.ft.,4 Bedrooms,3 Bathrooms
"[ Bukit Jalil ] Luxury Condo , Free Furnish with Gated Cashback 30k",RM 325 000,BUKITJALIL,Apartments,750 sq.ft.,2 Bedrooms,2 Bathrooms
"READY TO MOVE IN 2022|22x70,1209sqft|FREEHOLD LANDED|TOWNHOUSE NEAR KL",RM 421 358,BUKITJALIL,Apartments,1209 sq.ft.,3 Bedrooms,2 Bathrooms
FREEHOLD Luxury Condo|Near KL|Fully Residence Tittle|Ready To Move In,RM 384 117,BUKITJALIL,Apartments,1186 sq.ft.,3 Bedrooms,2 Bathrooms
"Below MV !! Kinrara Mas Condominium, Bukit Jalil",RM 488 000,BUKITJALIL,Apartments,1231 sq.ft.,4 Bedrooms,2 Bathrooms
"Vista Komanwel B, Jalan Bukit Jalil, Kuala Lumpur (Full Loan)",RM 600 000,BUKITJALIL,Apartments,1422 sq.ft.,4 Bedrooms,3 Bathrooms
"【FMCO Best Deal , 100% Loan】 Jalil Damai Apartment , Pavilion 2",RM 398 000,BUKITJALIL,Apartments,925 sq.ft.,3 Bedrooms,2 Bathrooms
【CORNER】Aurora Sovo Office Aurora Place Bukit Jalil City Office,RM 619 999,BUKITJALIL,Apartments,744 sq.ft.,1 Bedroom,1 Bathroom
RENOVATED The Andes Condominium Bukit Jalil KL,RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
Vista Komanwel A Bukit Jalil 1224sf 3Rooms FREEHOLD,RM 415 000,BUKITJALIL,Apartments,1224 sq.ft.,3 Bedrooms,2 Bathrooms
[Booking RM500] Serdang 3R 2B near Bukit Jalil 5 Min to Mrt Completed,RM 297 000,BUKITJALIL,Apartments,918 sq.ft.,3 Bedrooms,2 Bathrooms
For sale kinrara mas apartment,RM 430 000,BUKITJALIL,Apartments,1091 sq.ft.,3 Bedrooms,2 Bathrooms
The Andes Condo,RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
"The Andes Condominium Renovated Freehold 2 Parking, Bukit Jalil",RM 600 000,BUKITJALIL,Apartments,1105 sq.ft.,3 Bedrooms,2 Bathrooms
1575sqft Nice unit The Park Sky Residence Bukit Jalil,RM 1 480 000,BUKITJALIL,Apartments,1575 sq.ft.,3 Bedrooms,3 Bathrooms
The Sanderson Villa Duplex with private garden,RM 650 000,BUKITJALIL,Apartments,2000 sq.ft.,3 Bedrooms,3 Bathrooms
Kiara Residence 1 Bukit Jalil KL 1050sf 3Rooms LEASEHOLD 2CARPARK,RM 540 000,BUKITJALIL,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"Doorstep LRT, mall[3km to KLCC]monthly installment 800[LIMITED]",RM 220 000,BUKITJALIL,Apartments,320 sq.ft.,1 Bedroom,1 Bathroom
"The Rainz, High Floor, Good View, Fully Furnished",RM 978 000,BUKITJALIL,Apartments,1513 sq.ft.,4 Bedrooms,3 Bathrooms
"Anjung Hijau , Bukit Jalil Park view , Bukit Jalil",RM 428 000,BUKITJALIL,Apartments,1000 sq.ft.,2 Bedrooms,2 Bathrooms
Bukit Chagar Luxurious Apartments Unit for Sale - Great location!,RM 750 000,BUKITJALIL,Apartments,1518 sq.ft.,5 Bedrooms,3 Bathrooms
[ Dual Balcony Layout+HOC program] Hilltop Condo Free Kitchen Kabinet,RM 399 000,CHERAS,Apartments,1179 sq.ft.,3 Bedrooms,2 Bathrooms
Rumawip cheras miharja,RM 300 000,CHERAS,Apartments,859 sq.ft.,3 Bedrooms,2 Bathrooms
"[MURAH,RENO] Lestari Apartment, Bandar Sri Permaisuri, Cheras",RM 320 000,CHERAS,Apartments,820 sq.ft.,3 Bedrooms,2 Bathrooms
"Holmes 2 condo, Bdr Tun Razak, Cheras (New condo)",RM 420 000,CHERAS,Apartments,940 sq.ft.,3 Bedrooms,3 Bathrooms
"Condo Shamelin Bestari, Pandan Perdana Cheras 7mins MRT LRT",RM 385 000,CHERAS,Apartments,1040 sq.ft.,3 Bedrooms,2 Bathrooms
"Nusa Mewah Villa Condo , Below Market 50k !!! Bukit Pandan Cheras",RM 285 000,CHERAS,Apartments,865 sq.ft.,3 Bedrooms,2 Bathrooms
"Prisma Cheras Condo , Taman Midah , FREE HOLD , Below Market !",RM 268 000,CHERAS,Apartments,780 sq.ft.,2 Bedrooms,1 Bathroom
Duplex Condo【MRT Taman Midah】0% Downpayment 10 Mins to KLCC Cheras,RM 408 888,CHERAS,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"2 Car Park Monte Bayu Condo , Kg Cheras Baru, Cheras",RM 399 000,CHERAS,Apartments,1135 sq.ft.,3 Bedrooms,2 Bathrooms
"Bayu Tasik 1 Condominium Bandar Sri Permaisuri Cheras , Tun Razak",RM 335 000,CHERAS,Apartments,920 sq.ft.,3 Bedrooms,2 Bathrooms
"Maxim Residence Condo , Len Seng , Taman Connaught , Cheras",RM 368 000,CHERAS,Apartments,900 sq.ft.,2 Bedrooms,2 Bathrooms
"Nusa Mewah Villa , Taman Bukit Pandan Cheras , Renovated KLCC View",RM 308 000,CHERAS,Apartments,865 sq.ft.,3 Bedrooms,2 Bathrooms
[ Below Market ] Connaught Avenue | KLCC View | Mrt | Eko Cheras,RM 303 000,CHERAS,Apartments,950 sq.ft.,3 Bedrooms,2 Bathrooms
[KL CITY VIEW] THE RESIDENT CONDO AMPANG SOUTH s,RM 690 000,CHERAS,Apartments,1171 sq.ft.,3 Bedrooms,3 Bathrooms
"Fully Reno/Dekat LRT APARTMENT CEMARA,Bandar Sri Permaisuri",RM 335 000,CHERAS,Apartments,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Vista Amani Condominium Sri Permaisuri , Bandar Tun Razak , Cheras",RM 375 000,CHERAS,Apartments,1101 sq.ft.,4 Bedrooms,2 Bathrooms
1st Floor Pandan Apartment Lake View 8mins LRT MRT Pandan Perdana,RM 313 000,CHERAS,Apartments,856 sq.ft.,3 Bedrooms,2 Bathrooms
Seri Mas Condo Cheras Corner KL view Full Loan,RM 385 000,CHERAS,Apartments,1300 sq.ft.,3 Bedrooms,2 Bathrooms
Cheras Ria Apartment Taman Cheras KL Leisure Mall Eko Cheras,RM 143 000,CHERAS,Apartments,600 sq.ft.,3 Bedrooms,1 Bathroom
RUMAHWIP NEW CONDO 300k Miharja Cheras Sunway Velocity near LRT MRT,RM 300 000,CHERAS,Apartments,859 sq.ft.,3 Bedrooms,2 Bathrooms
For Sale Bayu Tasik Condominium Bandar Sri Permaisuri Cheras KL,RM 375 000,CHERAS,Apartments,920 sq.ft.,3 Bedrooms,2 Bathrooms
"Venice hills condo, Taman Puteri (Venice Hills)",RM 270 000,CHERAS,Apartments,1540 sq.ft.,3 Bedrooms,2 Bathrooms
Segar Apartment Ground Floor Nice Unit Good Location,RM 245 000,CHERAS,Apartments,650 sq.ft.,3 Bedrooms,1 Bathroom
"Silk Residence, Silk sky, balakong Cheras, Below Market(Full Loan)",RM 300 000,CHERAS,Apartments,1024 sq.ft.,3 Bedrooms,2 Bathrooms
"2 CAR PARK, EKO CHERAS DUPLEX 762sf ,Fully Renovated and Furnished MRT",RM 650 000,CHERAS,Apartments,762 sq.ft.,1 Bedroom,2 Bathrooms
Lido residency condo cheras BELOW PRICE,RM 580 000,CHERAS,Apartments,996 sq.ft.,3 Bedrooms,2 Bathrooms
NICE UNIT! Lestari Apartment Bandar Sri Permaisuri Cheras,RM 320 000,CHERAS,Apartments,820 sq.ft.,3 Bedrooms,2 Bathrooms
Shop Apartment Taman Mudah Ampang/Cheras,RM 148 000,CHERAS,Apartments,630 sq.ft.,2 Bedrooms,1 Bathroom
"Mandarina court apartment , taman connaught, cheras, Bukit mandarina",RM 280 000,CHERAS,Apartments,775 sq.ft.,3 Bedrooms,2 Bathrooms
Casa Green Condominium At Cheras 1797sft,RM 560 000,CHERAS,Apartments,1797 sq.ft.,4 Bedrooms,4 Bathrooms
Miharja Condominium Cheras Next to Maluri MRT station ,RM 359 000,CHERAS,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
(*CANTIK*) Mandarina Court Cheras Alam Damai Taman Connaught Low Floor,RM 240 000,CHERAS,Apartments,1 sq.ft.,3 Bedrooms,2 Bathrooms
"2 car park, fully renovated & furniture , eko cheras duplex, 762sf",RM 608 000,CHERAS,Apartments,762 sq.ft.,1 Bedroom,2 Bathrooms
[*Can Full Loan/ CashBack 50k*] Taman Connaught Mandarina Court Cheras,RM 240 000,CHERAS,Apartments,780 sq.ft.,3 Bedrooms,2 Bathrooms
1k deposit full loan apartment warisan cityview cheras KL,RM 425 000,CHERAS,Apartments,910 sq.ft.,3 Bedrooms,2 Bathrooms
"The Holmes 2, Bandar Tun Razak, New Condo",RM 420 000,CHERAS,Apartments,943 sq.ft.,3 Bedrooms,2 Bathrooms
"The Holmes 2, Bandar Tun Razak, New Condo for Sale",RM 430 000,CHERAS,Apartments,943 sq.ft.,3 Bedrooms,2 Bathrooms
"The Holmes Condo, Bandar Tun Razak, KL View",RM 470 000,CHERAS,Apartments,1018 sq.ft.,3 Bedrooms,2 Bathrooms
"The Holmes 2, Bandar Tun Razak, Cheras, New Condo",RM 490 000,CHERAS,Apartments,1106 sq.ft.,3 Bedrooms,3 Bathrooms
1K Deposit Full Loan Mewah Court Apartment Cheras Mewah,RM 269 000,CHERAS,Apartments,888 sq.ft.,3 Bedrooms,2 Bathrooms
"Maxim Residences, Alam Damai, Cheras",RM 400 000,CHERAS,Apartments,885 sq.ft.,2 Bedrooms,2 Bathrooms
"[FREEHOLD] Partially Furnished, Tasik Vista Condo, BTHO Cheras",RM 499 000,CHERAS,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
GROUND FLOOR Cengal Condominium Bandar Sri Permaisuri,RM 460 000,CHERAS,Apartments,922 sq.ft.,3 Bedrooms,1 Bathroom
Rumah Mampu Milik Cheras (Baru),RM 300 000,CHERAS,Apartments,859 sq.ft.,3 Bedrooms,2 Bathrooms
"Lestari Apartment, Bandar Sri Permaisuri, Cheras",RM 365 000,CHERAS,Apartments,820 sq.ft.,3 Bedrooms,2 Bathrooms
READY TO MOVE IN!!FULLY FURNISHED!! Condo Casa GreenBukit Jalil,RM 539 000,CHERAS,Apartments,1003 sq.ft.,3 Bedrooms,3 Bathrooms
CHEAP!VIEW TO BELIEVE! Pantai Hillpark Phase 5 Condo Bangsar,RM 420 000,CHERAS,Apartments,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Jasmine Court Apartment Cheras Taman Midah [Freehold],RM 400 000,CHERAS,Apartments,1250 sq.ft.,3 Bedrooms,2 Bathrooms
[Renovated Unit] Mentari Condo At Bandar Sri Permaisuri Cheras,RM 370 000,CHERAS,Apartments,1025 sq.ft.,3 Bedrooms,2 Bathrooms
2mins Walk to LRT - Bandar Sri Permaisuri New Condo,RM 510 000,CHERAS,Apartments,1115 sq.ft.,4 Bedrooms,3 Bathrooms
FREEHOLD CHERAS TOWNHOUSE NEAR KL | 24x75 READY TO MOVE IN | CASH BACK,RM 434 900,CHERAS,Apartments,1389 sq.ft.,3 Bedrooms,2 Bathrooms
1200sqft [MURAH+CASH BACK+GOOD Condo Cheras Near KL] READY TO MOVE IN,RM 381 600,CHERAS,Apartments,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Cengal KL Cheras Leisure Mall Cheras Hartamas Bukit Segar,RM 345 000,CHERAS,Apartments,850 sq.ft.,3 Bedrooms,2 Bathrooms
Corner Miharja Condo KL Cheras Maluri Full Loan Limited Unit LRT,RM 359 000,CHERAS,Apartments,969 sq.ft.,3 Bedrooms,2 Bathrooms
Prisma Perdana Corne Prisma Cheras HUKM Taman Midah KL Cheras MRT 8,RM 315 000,CHERAS,Apartments,837 sq.ft.,3 Bedrooms,2 Bathrooms
Cemara Apartment for sale bukit segar cheras,RM 180 000,CHERAS,Apartments,625 sq.ft.,3 Bedrooms,2 Bathrooms
"[FREEHOLD] Partially Furnished, Tasik Vista Condo, BTHO Cheras",RM 540 000,CHERAS,Apartments,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Below Market Price ~Langat Jaya Condominium For Sale,RM 275 000,CHERAS,Apartments,938 sq.ft.,3 Bedrooms,2 Bathrooms
"[CORNER UNIT] Freehold, Tasik Vista Residen, BTHO Cheras",RM 630 000,CHERAS,Apartments,1213 sq.ft.,3 Bedrooms,2 Bathrooms
"[FREEHOLD] Windows On The Park Condominium, Cheras",RM 790 000,CHERAS,Apartments,1605 sq.ft.,3 Bedrooms,3 Bathrooms
CENGAL KONDO LRT SALAK SELATAN 100% LOAN direct owner,RM 365 000,CHERAS,Apartments,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Mandarina Court KL Cheras Connaught Alam Damai Batu 9 MRT Damai,RM 248 000,CHERAS,Apartments,780 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Shamelin KL Cheras Apartment Maluri Ampang Condo Sunway Velocity,RM 200 000,CHERAS,Apartments,616 sq.ft.,3 Bedrooms,1 Bathroom
Prisma Perdana Corne Prisma Cheras HUKM Taman Midah KL Cheras MRT,RM 315 000,CHERAS,Apartments,837 sq.ft.,3 Bedrooms,2 Bathrooms
"{CHEAPEST, RENOVATED} Cheras Bandar Sri Permaisuri, Bayu Tasik 2 Condo",RM 405 000,CHERAS,Apartments,960 sq.ft.,3 Bedrooms,2 Bathrooms
"{MURAH, DEKAT LRT KTM} Cheras, Bandar Sri Permaisuri, Bayu Tasik Condo",RM 355 000,CHERAS,Apartments,920 sq.ft.,3 Bedrooms,2 Bathrooms
"The Holmes 2, Bandar Tun Razak, New Condo For Sale, Facing Pool",RM 480 000,CHERAS,Apartments,1104 sq.ft.,3 Bedrooms,2 Bathrooms
Residensi Alam Damai,RM 315 000,CHERAS,Apartments,935 sq.ft.,3 Bedrooms,2 Bathrooms
Putra suria residensi,RM 335 000,CHERAS,Apartments,748 sq.ft.,3 Bedrooms,2 Bathrooms
[HOC+Residential] Cheras Luxury Freehold Condominium 3R2B Low Density,RM 385 100,CHERAS,Apartments,1219 sq.ft.,3 Bedrooms,2 Bathrooms
