State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Kedah,N.18,TOKAI,UST FIRDAUS JAAFAR,PKR,"6,632","30,465",21.77%,0,L,KLH,0
Kedah,N.18,TOKAI,AHMAD FATAHI BIN OMAR,BN,"7,892","30,465",25.91%,0,L,KLH,TIADA
Kedah,N.18,TOKAI,DATO' DR MOHD HAYATI,PAS,"15,941","30,465",52.33%,1,L,MNG,DOKTOR (PERSENDIRIAN)
Kedah,N.19,SUNGAI TIANG,RAZAK KHAMIS,PKR,"8,028","31,813",25.23%,0,L,KLH,PESARA KERAJAAN
Kedah,N.19,SUNGAI TIANG,USTAZ SAIFUL SYAZWAN,PAS,"11,572","31,813",36.38%,0,L,KLH,TIADA
Kedah,N.19,SUNGAI TIANG,SURAYA BINTI YAACOB,BN,"12,213","31,813",38.39%,1,P,MNG,TIADA
Kedah,N.20,SUNGAI LIMAU,USTAZ MOHD AZAM BIN ABD SAMAT,PAS,"13,048","24,616",53.01%,1,L,MNG,TIADA
Kedah,N.20,SUNGAI LIMAU,ZAHRAN DATO' ABDULLAH (LAH PAK),PKR,"4,493","24,616",18.25%,0,L,KLH,0
Kedah,N.20,SUNGAI LIMAU,DATO' NORMA BINTI AWANG,BN,"7,075","24,616",28.74%,0,P,KLH,TIADA
Kedah,N.21,GUAR CHEMPEDAK,MOHD SAFFUAN BIN SABARI,PKR,"5,686","18,463",30.80%,0,L,KLH,KONTRAKTOR BINAAN
Kedah,N.21,GUAR CHEMPEDAK,MUSODDAK HJ AHMAD,PAS,"6,259","18,463",33.90%,0,L,KLH,TIADA
Kedah,N.21,GUAR CHEMPEDAK,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,BN,"6,518","18,463",35.30%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KEDAH.
Kedah,N.22,GURUN,DATO' JOHARI ABDUL,PKR,"10,732","22,681",47.32%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.22,GURUN,MUZAINI BIN AZIZAN,PAS,"5,257","22,681",23.18%,0,L,KLH,TIADA
Kedah,N.22,GURUN,DATO' BOEY CHIN GAN,BN,"6,525","22,681",28.77%,0,L,KLH,PENGARAH SYARIKAT
Kedah,N.22,GURUN,PALANIAPPAN A/L MARIMUTHU,BEBAS - GAJAH,167,"22,681",0.74%,0,L,HD,TIADA
Kedah,N.23,BELANTEK,MOHD TAJUDIN BIN ABDULLAH,BN,"7,026","19,002",36.98%,0,L,KLH,0
Kedah,N.23,BELANTEK,CIKGU RASHID,PKR,"2,376","19,002",12.50%,0,L,KLH,TIADA
Kedah,N.23,BELANTEK,USTAZ MOHD ISA B. SHAFIE,PAS,"9,600","19,002",50.52%,1,L,MNG,0
Kedah,N.24,JENERI,MAHADZIR BIN ABDUL HAMID,BN,"8,171","22,943",35.61%,0,L,KLH,TIADA
Kedah,N.24,JENERI,MOHD. NAZRI BIN ABU HASSAN,PKR,"4,146","22,943",18.07%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.24,JENERI,MUHAMMAD SANUSI MD NOR,PAS,"10,626","22,943",46.31%,1,L,MNG,TIADA
Kedah,N.25,BUKIT SELAMBAU,DATO' JASPAL SINGH,BN,"9,449","38,960",24.25%,0,L,KLH,PERUNDING TEKNOLOGI MAKLUMAT
Kedah,N.25,BUKIT SELAMBAU,SUMMUGAM A/L RENGASAMY,PKR,"17,573","38,960",45.11%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.25,BUKIT SELAMBAU,DR. MOHD ALI BIN SULAIMAN,PAS,"11,938","38,960",30.64%,0,L,KLH,TIADA
Kedah,N.26,TANJONG DAWAI,MEJAR ANUAR BIN ABDUL HAMID (B),PKR,"10,492","32,357",32.43%,0,L,KLH,PESARA KERAJAAN
Kedah,N.26,TANJONG DAWAI,TUAN HAJI ANNUAR BIN AHMAD,BN,"10,421","32,357",32.21%,0,L,KLH,BERNIAGA
Kedah,N.26,TANJONG DAWAI,USTAZ HANIF BIN GHAZALI,PAS,"11,444","32,357",35.37%,1,L,MNG,TIADA
Kedah,N.27,PANTAI MERDEKA,USTAZ ROSLI YUSOF,PKR,"7,281","30,981",23.50%,0,L,KLH,TIADA
Kedah,N.27,PANTAI MERDEKA,USTAZ FADZLI HASHIM,PAS,"14,133","30,981",45.62%,1,L,MNG,PESARA
Kedah,N.27,PANTAI MERDEKA,DATO ALI BIN YAHAYA,BN,"9,567","30,981",30.88%,0,L,KLH,SENDIRI
Kedah,N.28,BAKAR ARANG,USTAZ OTHMAN CHE MEE,PAS,"7,607","31,681",24.01%,0,L,KLH,PENDAKWAH BEBAS
Kedah,N.28,BAKAR ARANG,SIMON OOI,PKR,"18,440","31,681",58.21%,1,L,MNG,TIADA
Kedah,N.28,BAKAR ARANG,TAN KEE CHYE,PRM,58,"31,681",0.18%,0,L,HD,PENIAGA
Kedah,N.28,BAKAR ARANG,TAN HOCK HUAT,BEBAS - KUNCI,29,"31,681",0.09%,0,L,HD,AHLI PERNIAGAAN
Kedah,N.28,BAKAR ARANG,KO HUNG WENG,BN,"5,547","31,681",17.51%,0,L,KLH,TIADA
Kedah,N.29,SIDAM,DR ROBERT LING,PKR,"17,344","29,859",58.09%,1,L,MNG,DOKTOR
Kedah,N.29,SIDAM,CIK GU HASHIM,PRM,80,"29,859",0.27%,0,L,HD,PESARA
Kedah,N.29,SIDAM,TAN KOK SEONG,BN,"5,951","29,859",19.93%,0,L,KLH,PENIAGA
Kedah,N.29,SIDAM,NUR HIDAYAH FOO,PAS,"6,484","29,859",21.72%,0,P,KLH,GURU SWASTA
Kedah,N.30,BAYU,CIKGU ABD NASIR,PAS,"14,339","32,813",43.70%,1,L,MNG,PESARA
Kedah,N.30,BAYU,ABD RAHIM KECHIK,PKR,"5,059","32,813",15.42%,0,L,KLH,PESARA
Kedah,N.30,BAYU,MOHD NOOR BIN MOHD AMIN (HAJI NOQ),BN,"13,415","32,813",40.88%,0,L,KLH,BERNIAGA
Kedah,N.31,KUPANG,DATO' US NAJMI HJ AHMAD,PAS,"13,290","29,121",45.64%,1,L,MNG,PESARA
Kedah,N.31,KUPANG,CIKGU JOHARI,PKR,"4,168","29,121",14.31%,0,L,KLH,TIADA
Kedah,N.31,KUPANG,DATO' HARUN AZIZ,BN,"11,663","29,121",40.05%,0,L,KLH,TIADA
Kedah,N.32,KUALA KETIL,MEJAR (B) MANSOR,PAS,"12,574","28,519",44.09%,1,L,MNG,TIADA
Kedah,N.32,KUALA KETIL,MOHAMAD SOFEE RAZAK,PKR,"4,952","28,519",17.36%,0,L,KLH,PEGUAM
Kedah,N.32,KUALA KETIL,DATO KHAIRUL,BN,"10,993","28,519",38.55%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.33,MERBAU PULAS,ASMADI ABU TALIB,BN,"9,454","28,613",33.04%,0,L,KLH,TIADA
Kedah,N.33,MERBAU PULAS,DATO' USTAZAH SITI ASHAH BINTI GHAZALI,PAS,"9,892","28,613",34.57%,1,P,MNG,SURI RUMAH
Kedah,N.33,MERBAU PULAS,CIKGU RAZAK,PKR,"9,267","28,613",32.39%,0,L,KLH,TIADA
Kedah,N.34,LUNAS,CIKGU AZMAN,PKR,"23,904","41,484",57.62%,1,L,MNG,TIADA
Kedah,N.34,LUNAS,HAJI AHMAD TAUFIQ,PAS,"10,091","41,484",24.33%,0,L,KLH,PEGUAM
Kedah,N.34,LUNAS,M. THURAISINGAM,BN,"7,489","41,484",18.05%,0,L,KLH,AHLI PERNIAGAAN
Kedah,N.35,KULIM,YEO KENG CHUAN,PKR,"13,070","31,459",41.55%,1,L,MNG,AHLI PERNIAGAAN
Kedah,N.35,KULIM,CHUA THIONG GEE,BN,"9,275","31,459",29.48%,0,L,KLH,TIADA
Kedah,N.35,KULIM,MOHD KHAIRI SALLEH,PAS,"9,080","31,459",28.86%,0,L,KLH,BERNIAGA
Kedah,N.35,KULIM,LEE AH LEONG,PRM,34,"31,459",0.11%,0,L,HD,TIADA
Kedah,N.36,BANDAR BAHARU,USTAZ ROHAIZAT JAAFAR,PAS,"7,506","22,897",32.78%,0,L,KLH,MELETAK JAWATAN (PENOLONG PEGAWAI HAL EHWAL ISLAM)
Kedah,N.36,BANDAR BAHARU,DATO' NORSABRINA BINTI MOHD NOOR,BN,"7,884","22,897",34.43%,1,P,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI
Kedah,N.36,BANDAR BAHARU,DATO' AZIMI BIN DAIM,PKR,"7,507","22,897",32.79%,0,L,KLH,TIADA
Kelantan,N.01,PENGKALAN KUBOR,USTAZ HJ RAZI,BN,"8,563","20,288",42.21%,0,L,KLH,0
Kelantan,N.01,PENGKALAN KUBOR,USTAZ LAN,PAS,"10,142","20,288",49.99%,1,L,MNG,0
Kelantan,N.01,PENGKALAN KUBOR,DATO' ROSDI,PKR,"1,583","20,288",7.80%,0,L,HD,AHLI PERNIAGAAN
Kelantan,N.02,KELABORAN,KAK JAH,PKR,"1,970","21,885",9.00%,0,P,HD,PENIAGA
Kelantan,N.02,KELABORAN,CIKGU HASHIM,BN,"7,493","21,885",34.24%,0,L,KLH,0
Kelantan,N.02,KELABORAN,CIKGU NAN,PAS,"12,422","21,885",56.76%,1,L,MNG,0
Kelantan,N.03,PASIR PEKAN,DATO' UST MAD,PAS,"14,298","22,384",63.88%,1,L,MNG,MENTERI BESAR (SEMENTARA)
Kelantan,N.03,PASIR PEKAN,WAN JO,PKR,"2,140","22,384",9.56%,0,L,HD,0
Kelantan,N.03,PASIR PEKAN,HJ. WAN SANUSI,BN,"5,946","22,384",26.56%,0,L,KLH,BERNIAGA
Kelantan,N.04,WAKAF BHARU,ABE K,PKR,"1,999","22,186",9.01%,0,L,HD,0
Kelantan,N.04,WAKAF BHARU,HAJI RUSLI ABDULLAH,PAS,"10,287","22,186",46.37%,1,L,MNG,AHLI PERNIAGAAN
Kelantan,N.04,WAKAF BHARU,DATUK ROSDI,BN,"9,900","22,186",44.62%,0,L,KLH,0
Kelantan,N.05,KIJANG,NIK AZMI,PKR,"1,828","17,107",10.69%,0,L,HD,0
Kelantan,N.05,KIJANG,AZUAN,BN,"5,281","17,107",30.87%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.05,KIJANG,DR IZANI,PAS,"9,998","17,107",58.44%,1,L,MNG,0
Kelantan,N.06,CHEMPAKA,FAREEZ,BN,"7,075","20,042",35.30%,0,L,KLH,BERNIAGA
Kelantan,N.06,CHEMPAKA,USTAZ FATHAN,PAS,"10,549","20,042",52.63%,1,L,MNG,0
Kelantan,N.06,CHEMPAKA,USTAZ NIK OMAR,PKR,"2,418","20,042",12.06%,0,L,HD,0
Kelantan,N.07,PANCHOR,DATO' NIK AMAR,PAS,"13,597","22,300",60.97%,1,L,MNG,TIMBALAN MENTERI BESAR SEMENTARA
Kelantan,N.07,PANCHOR,ZARINA EUSOPE,BN,"6,309","22,300",28.29%,0,P,KLH,BERNIAGA
Kelantan,N.07,PANCHOR,HAZMI HASSAN,PKR,"2,394","22,300",10.74%,0,L,HD,0
Kelantan,N.08,TANJONG MAS,MADIHAH BINTI AB AZIZ,BN,"4,945","24,238",20.40%,0,P,KLH,BERNIAGA
Kelantan,N.08,TANJONG MAS,DR HAFIDZAH,PKR,"6,139","24,238",25.33%,0,P,KLH,DOKTOR PERUBATAN
Kelantan,N.08,TANJONG MAS,KAK ANI,PAS,"13,154","24,238",54.27%,1,P,MNG,TIADA
Kelantan,N.09,KOTA LAMA,CHUA HOCK KUAN,BN,"5,502","20,960",26.25%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.09,KOTA LAMA,DATO' ANUAR TAN,PAS,"8,410","20,960",40.12%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KELANTAN (SEMENTARA)
Kelantan,N.09,KOTA LAMA,TAN SRI RASHID,PKR,"6,965","20,960",33.23%,0,L,KLH,TIADA
Kelantan,N.09,KOTA LAMA,KHAIRUL NIZAM,PSM,54,"20,960",0.26%,0,L,HD,TIADA
Kelantan,N.09,KOTA LAMA,IZAT BUKHARY,BEBAS - PEN,29,"20,960",0.14%,0,L,HD,TIADA
Kelantan,N.10,BUNUT PAYONG,DATUK HAJI MOHAMED HASNAN BIN CHE HUSSIN,BN,"6,294","21,801",28.87%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.10,BUNUT PAYONG,SANUSI BIN HJ OTHMAN,PKR,"4,586","21,801",21.04%,0,L,KLH,TIDAK BEKERJA
Kelantan,N.10,BUNUT PAYONG,DR.RAMLI,PAS,"10,921","21,801",50.09%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KELANTAN (SEMENTARA)
Kelantan,N.11,TENDONG,DATO' DR.IBRAHIM B. ALI,BEBAS - CAWAN,"1,479","18,490",8.00%,0,L,HD,AHLI PERNIAGAAN
Kelantan,N.11,TENDONG,DR WAN ZUL,PKR,"1,360","18,490",7.36%,0,L,HD,DOKTOR
Kelantan,N.11,TENDONG,ROZI MUHAMAD,PAS,"8,951","18,490",48.41%,1,L,MNG,-
Kelantan,N.11,TENDONG,DATO' HJ PAKYA,BN,"6,700","18,490",36.24%,0,L,KLH,TIADA
Kelantan,N.12,PENGKALAN PASIR,CHE JOHAN BIN CHE PA,BN,"5,545","19,084",29.06%,0,L,KLH,USAHAWAN
Kelantan,N.12,PENGKALAN PASIR,UST.DR SHA'RANI,PKR,"2,570","19,084",13.47%,0,L,KLH,PESARA
Kelantan,N.12,PENGKALAN PASIR,Ir.SUHARTO BIN MAT NASIR,BEBAS - CAWAN,826,"19,084",4.33%,0,L,HD,BERNIAGA
Kelantan,N.12,PENGKALAN PASIR,DATO' HJ.HANIFA AHMAD,PAS,"10,143","19,084",53.15%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KELANTAN (SEMENTARA)
Kelantan,N.13,MERANTI,CHE DAUD BIN CHE MAN,BEBAS - CAWAN,512,"16,019",3.20%,0,L,HD,BERNIAGA
Kelantan,N.13,MERANTI,ROMIZU,PKR,971,"16,019",6.06%,0,L,HD,TIADA
Kelantan,N.13,MERANTI,DATO' US HJ NASSURUDDIN HJ DAUD,PAS,"10,318","16,019",64.41%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI KELANTAN (SEMENTARA)
Kelantan,N.13,MERANTI,ANUAR HUSIN (JASA),BN,"4,218","16,019",26.33%,0,L,KLH,TIADA
Kelantan,N.14,CHETOK,TOK IMAM LI,PKR,"1,928","16,698",11.55%,0,L,HD,TIADA
Kelantan,N.14,CHETOK,ZAKARIA BIN HASAN,BEBAS - KERETA,25,"16,698",0.15%,0,L,HD,TIADA
Kelantan,N.14,CHETOK,USTAZ AFIFI,BN,"6,044","16,698",36.20%,0,L,KLH,TIADA
Kelantan,N.14,CHETOK,HAJI ZURAIDIN BIN ABDULLAH,PAS,"8,701","16,698",52.11%,1,L,MNG,BERNIAGA
Kelantan,N.15,GUAL PERIOK,CIKGU LI,BN,"6,509","16,711",38.95%,0,L,KLH,PESARA
Kelantan,N.15,GUAL PERIOK,LAWYER WAN,PKR,"1,570","16,711",9.40%,0,L,HD,PEGUAM
Kelantan,N.15,GUAL PERIOK,USTAZ MAT,PAS,"8,632","16,711",51.65%,1,L,MNG,TIADA
Kelantan,N.16,APAM PUTRA,AKBAR,BN,"6,786","15,002",45.23%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.16,APAM PUTRA,ABD RASUL,PAS,"7,134","15,002",47.55%,1,L,MNG,TIADA
Kelantan,N.16,APAM PUTRA,SYAM GHAZ,PKR,"1,082","15,002",7.21%,0,L,HD,TIADA
Kelantan,N.17,SALOR,HUSAM MUSA,PKR,"3,617","21,363",16.93%,0,L,KLH,TIDAK BEKERJA
Kelantan,N.17,SALOR,HAJI SAIFUL,PAS,"11,206","21,363",52.46%,1,L,MNG,TIADA
Kelantan,N.17,SALOR,DATUK NOORDIN,BN,"6,540","21,363",30.61%,0,L,KLH,TIADA
Kelantan,N.18,PASIR TUMBOH,CIKGU NOOR YAZID,PKR,"2,759","20,278",13.61%,0,L,KLH,TIADA
Kelantan,N.18,PASIR TUMBOH,USTAZ ABD RAHMAN,PAS,"12,470","20,278",61.50%,1,L,MNG,TIADA
Kelantan,N.18,PASIR TUMBOH,BAKRI BIN YUSOFF,BN,"5,049","20,278",24.90%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.19,DEMIT,KAK LONG NURUL AMAL,BN,"4,553","21,775",20.91%,0,P,KLH,AHLI PERNIAGAAN
Kelantan,N.19,DEMIT,KAK TAZ,PAS,"13,621","21,775",62.55%,1,P,MNG,TIADA
Kelantan,N.19,DEMIT,DR.WAN AHMAD KAMIL,PKR,"3,601","21,775",16.54%,0,L,KLH,TIADA
Kelantan,N.20,TAWANG,USTAZ HASSAN,PAS,"14,991","25,399",59.02%,1,L,MNG,TIADA
Kelantan,N.20,TAWANG,DATUK MOHD RADZUAN BIN ABDULLAH,BN,"10,408","25,399",40.98%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.21,PANTAI IRAMA,HAJI MIE,PAS,"12,827","24,620",52.10%,1,L,MNG,TIADA
Kelantan,N.21,PANTAI IRAMA,DATO' DR. ILIAS BIN HUSAIN,BN,"10,348","24,620",42.03%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.21,PANTAI IRAMA,HJ ISMAIL,PKR,"1,445","24,620",5.87%,0,L,HD,TIADA
Kelantan,N.22,JELAWAT,PAK SU WAN,BN,"9,968","23,856",41.78%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.22,JELAWAT,CIKGU AZZIZ,PAS,"12,463","23,856",52.24%,1,L,MNG,TIADA
Kelantan,N.22,JELAWAT,MOHD FAMI ZAKARIA,PKR,"1,425","23,856",5.97%,0,L,HD,BERNIAGA
Kelantan,N.23,MELOR,HJ AZIZ,PKR,"2,122","17,115",12.40%,0,L,HD,PESARA AHLI PARLIMEN
Kelantan,N.23,MELOR,CIKGU HAJI AZMI,BN,"7,173","17,115",41.91%,0,L,KLH,SENDIRI
Kelantan,N.23,MELOR,DR. YUSNAN,PAS,"7,820","17,115",45.69%,1,L,MNG,TIADA
Kelantan,N.24,KADOK,USTAZ HIM,PKR,"1,246","13,432",9.28%,0,L,HD,TIADA
Kelantan,N.24,KADOK,HJ AZAMI,PAS,"7,025","13,432",52.30%,1,L,MNG,PENILAI SWASTA
Kelantan,N.24,KADOK,AZAM ISMAIL,BN,"5,161","13,432",38.42%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.25,KOK LANAS,USTAZ NIK,PAS,"9,799","22,499",43.55%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.25,KOK LANAS,DR. HANAPI,PKR,"1,779","22,499",7.91%,0,L,HD,DOKTOR (KLINIK SWASTA)
Kelantan,N.25,KOK LANAS,DATUK ALWI,BN,"10,921","22,499",48.54%,1,L,MNG,JURUKUR
Kelantan,N.26,BUKIT PANAU,CIKGU DAYANG SANIAH,BN,"10,215","27,684",36.90%,0,P,KLH,PESARA KERAJAAN
Kelantan,N.26,BUKIT PANAU,DATO' ABDUL FATTAH,PAS,"14,506","27,684",52.40%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN (SEMENTARA)
Kelantan,N.26,BUKIT PANAU,LAWYER HISHAM,PKR,"2,963","27,684",10.70%,0,L,HD,PEGUAM
Kelantan,N.27,GUAL IPOH,CIKGU BAKRI,BN,"8,509","16,102",52.84%,1,L,MNG,TIADA
Kelantan,N.27,GUAL IPOH,CIKGU WAN YUSOFF,PAS,"7,094","16,102",44.06%,0,L,KLH,TIADA
Kelantan,N.27,GUAL IPOH,ABE SOBA,PKR,499,"16,102",3.10%,0,L,HD,TIADA
Kelantan,N.28,KEMAHANG,WAN RAKEMI,BN,"6,338","14,336",44.21%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.28,KEMAHANG,MEJ (B) DATO NIZAM,PAS,"7,261","14,336",50.65%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN KELANTAN (SEMENTARA)
Kelantan,N.28,KEMAHANG,BAHARI BIN MOHAMAD NOR,PKR,737,"14,336",5.14%,0,L,HD,TIADA
Kelantan,N.29,SELISING,CIKGU ISMAIL,PKR,808,"16,968",4.76%,0,L,HD,TIADA
Kelantan,N.29,SELISING,USTAZ TUAN SARIPUDIN,PAS,"9,640","16,968",56.81%,1,L,MNG,TIADA
Kelantan,N.29,SELISING,ZUL ALI,BN,"6,520","16,968",38.43%,0,L,KLH,TIADA
Kelantan,N.30,LIMBONGAN,USTAZ NAZLAN,PAS,"10,563","19,909",53.06%,1,L,MNG,TIADA
Kelantan,N.30,LIMBONGAN,CIKGU ZARIR,PKR,"1,921","19,909",9.65%,0,L,HD,PESARA
Kelantan,N.30,LIMBONGAN,TOK IMAM HANAFIAH,BN,"7,425","19,909",37.29%,0,L,KLH,TIADA
Kelantan,N.31,SEMERAK,CIKGU AWI,BN,"7,646","16,874",45.31%,0,L,KLH,TIADA
Kelantan,N.31,SEMERAK,KAPTEN WAN MARZUDI,PKR,950,"16,874",5.63%,0,L,HD,TIADA
Kelantan,N.31,SEMERAK,TOK WAN HASSAN,PAS,"8,278","16,874",49.06%,1,L,MNG,TIADA
Kelantan,N.32,GAAL,USTAZ RODZI,PAS,"7,533","14,386",52.36%,1,L,MNG,TIADA
Kelantan,N.32,GAAL,DATO' DR. KAISAN,BN,"5,956","14,386",41.40%,0,L,KLH,BERNIAGA
Kelantan,N.32,GAAL,ABE MAN BATU HITAM,PKR,897,"14,386",6.24%,0,L,HD,TIADA
Kelantan,N.33,PULAI CHONDONG,USTAZ AZHAR,PAS,"9,140","17,489",52.26%,1,L,MNG,TIADA
Kelantan,N.33,PULAI CHONDONG,CIKGU DIN,PKR,"1,328","17,489",7.59%,0,L,HD,PESARA
Kelantan,N.33,PULAI CHONDONG,HJ AHMAD TARMIZI,BN,"7,021","17,489",40.15%,0,L,KLH,PEKERJA SWASTA
Kelantan,N.34,TEMANGAN,DATO' DR. FADZLI HASSAN,PAS,"8,711","16,439",52.99%,1,L,MNG,AHLI MAJLIS MESYUARAT KERAJAAN NEGERI (SEMENTARA)
Kelantan,N.34,TEMANGAN,REDZUAN,PKR,914,"16,439",5.56%,0,L,HD,BERNIAGA
Kelantan,N.34,TEMANGAN,CIKGU ADNAN,BN,"6,814","16,439",41.45%,0,L,KLH,TIADA
Kelantan,N.35,KEMUNING,USTAZ LI,PAS,"9,969","21,066",47.32%,1,L,MNG,TIADA
Kelantan,N.35,KEMUNING,CIKGU KADIR,PKR,"2,163","21,066",10.27%,0,L,HD,TIADA
Kelantan,N.35,KEMUNING,ERIANDI,BN,"8,934","21,066",42.41%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.36,BUKIT BUNGA,DATO' ADHAN KECHIK,BN,"7,068","13,714",51.54%,1,L,MNG,PEGUAM
Kelantan,N.36,BUKIT BUNGA,HAJI RAMZI BIN MOHD YUSOFF,PAS,"5,987","13,714",43.66%,0,L,KLH,TIADA
Kelantan,N.36,BUKIT BUNGA,ASRAN BIN ALIAS,PKR,659,"13,714",4.81%,0,L,HD,TIADA
Kelantan,N.37,AIR LANAS,DATO' USTAZ LAH,PAS,"6,884","14,735",46.72%,0,L,KLH,SPEAKER
Kelantan,N.37,AIR LANAS,DR AMINUDDIN,PKR,608,"14,735",4.13%,0,L,HD,DOKTOR
Kelantan,N.37,AIR LANAS,DATO' PA,BN,"7,243","14,735",49.16%,1,L,MNG,MENTERI PERDAGANGAN ANTARABANGSA DAN INDUSTRI
Kelantan,N.38,KUALA BALAH,HJ. PENDI,PAS,"4,714","10,306",45.74%,0,L,KLH,AHLI PERNIAGAAN
Kelantan,N.38,KUALA BALAH,DATUK AZIZ,BN,"5,592","10,306",54.26%,1,L,MNG,PEGUAM
Kelantan,N.39,MENGKEBANG,CIKGU WAN AZLAN,PKR,829,"16,068",5.16%,0,L,HD,-
Kelantan,N.39,MENGKEBANG,TOK IME MAT MIN,PAS,"9,295","16,068",57.85%,1,L,MNG,-
Kelantan,N.39,MENGKEBANG,USTAZ ZAKI,BN,"5,944","16,068",36.99%,0,L,KLH,-
Kelantan,N.40,GUCHIL,ZUBER BIN HASSAN,BN,"5,285","15,334",34.47%,0,L,KLH,PESARA
Kelantan,N.40,GUCHIL,CIKGU ROSLAN,PKR,"2,362","15,334",15.40%,0,L,KLH,0
Kelantan,N.40,GUCHIL,AZIZ AHMAD,BEBAS - PEN,123,"15,334",0.80%,0,L,HD,PESARA
Kelantan,N.40,GUCHIL,HILMI ABDULLAH,PAS,"7,564","15,334",49.33%,1,L,MNG,PEGUAM
Kelantan,N.41,MANEK URAI,DERAMAN BIN MAMAT,BEBAS - POKOK,41,"14,175",0.29%,0,L,HD,-
Kelantan,N.41,MANEK URAI,ABE UJI,PAS,"8,683","14,175",61.26%,1,L,MNG,-
Kelantan,N.41,MANEK URAI,CHE NI ZUKI,BN,"4,948","14,175",34.91%,0,P,KLH,BERNIAGA
Kelantan,N.41,MANEK URAI,USTAZ MAT DAHAN,PKR,503,"14,175",3.55%,0,L,HD,-
Kelantan,N.42,DABONG,TOK IME KU ZAKI,PAS,"4,778","9,394",50.86%,1,L,MNG,-
Kelantan,N.42,DABONG,MAT AWANG,BN,"4,189","9,394",44.59%,0,L,KLH,-
Kelantan,N.42,DABONG,LAWYER WAN,PKR,427,"9,394",4.55%,0,L,HD,PEGUAM
Kelantan,N.43,NENGGIRI,AB AZIZ,BN,"5,506","11,339",48.56%,1,L,MNG,-
Kelantan,N.43,NENGGIRI,TOK NGULU PI,PAS,"5,045","11,339",44.49%,0,L,KLH,-
Kelantan,N.43,NENGGIRI,ABANG MAN,PKR,788,"11,339",6.95%,0,L,HD,-
Kelantan,N.44,PALOH,USTAZ MAN,PAS,"5,535","12,926",42.82%,0,L,KLH,-
Kelantan,N.44,PALOH,UMMI NOR,PKR,417,"12,926",3.23%,0,P,HD,-
Kelantan,N.44,PALOH,HJ. AMRAN BIN ARIFIN,BN,"6,974","12,926",53.95%,1,L,MNG,-
Kelantan,N.45,GALAS,USTAZ MI,PAS,"5,543","15,797",35.09%,0,L,KLH,-
Kelantan,N.45,GALAS,ABE DIN,BN,"7,281","15,797",46.09%,1,L,MNG,USAHAWAN
Kelantan,N.45,GALAS,NASIR,PKR,"2,973","15,797",18.82%,0,L,KLH,-
Melaka,N.01,KUALA LINGGI,HAJI ISMAIL BIN OTHMAN,BN,"4,812","9,193",52.34%,1,L,MNG,AHLI POLITIK
Melaka,N.01,KUALA LINGGI,HASMORNI BINTI TAMBY,PKR,"3,440","9,193",37.42%,0,P,KLH,TIADA
Melaka,N.01,KUALA LINGGI,HJ. AZMI BIN HJ. SAMBUL,PAS,941,"9,193",10.24%,0,L,HD,BERNIAGA
Melaka,N.02,TANJUNG BIDARA,HJ MD RAWI BIN MAHMUD,BN,"4,865","8,367",58.15%,1,L,MNG,AHLI POLITIK
Melaka,N.02,TANJUNG BIDARA,USTAZ IMRAN,PAS,"1,501","8,367",17.94%,0,L,KLH,PENIAGA
Melaka,N.02,TANJUNG BIDARA,HALIM BACHIK,PKR,"2,001","8,367",23.92%,0,L,KLH,AHLI PERNIAGAAN
Melaka,N.03,AYER LIMAU,AMIRUDIN BIN YUSOF,BN,"4,704","9,116",51.60%,1,L,MNG,AHLI POLITIK
Melaka,N.03,AYER LIMAU,JAMARUDIN AHMAD,PAS,"1,187","9,116",13.02%,0,L,KLH,BEKERJA SENDIRI
