State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.12,BENTAYAN,NG YAK HOWE,PKR,"18,278","22,927",79.72%,1,L,MNG,0
Johor,N.12,BENTAYAN,LEE KIM HENG,BN,"4,649","22,927",20.28%,0,L,KLH,0
Johor,N.13,SIMPANG JERAM,AHMAD HASHIM,BEBAS - POKOK,28,"23,757",0.12%,0,L,HD,0
Johor,N.13,SIMPANG JERAM,DR. MOHD MAZRI BIN YAHYA,PAS,"2,136","23,757",8.99%,0,L,HD,0
Johor,N.13,SIMPANG JERAM,SALAHUDDIN AYUB,PKR,"14,640","23,757",61.62%,1,L,MNG,0
Johor,N.13,SIMPANG JERAM,MOHD RADZI BIN AMIN,BN,"6,953","23,757",29.27%,0,L,KLH,0
Johor,N.14,BUKIT NANING,HASSAN BIN JOHARI,BN,"5,728","15,049",38.06%,0,L,KLH,0
Johor,N.14,BUKIT NANING,AZMAN BIN IBRAHIM,PAS,"1,677","15,049",11.14%,0,L,HD,0
Johor,N.14,BUKIT NANING,JEGANATHAN A/L SUBRAMANIAM,BEBAS - KUDA,364,"15,049",2.42%,0,L,HD,0
Johor,N.14,BUKIT NANING,MD YSAHRUDIN BIN KUSNI,PKR,"7,280","15,049",48.38%,1,L,MNG,0
Johor,N.15,MAHARANI,NOR HAYATI BACHOK,PKR,"12,405","23,005",53.92%,1,P,MNG,0
Johor,N.15,MAHARANI,DR MOHAMMAD TASLIM,PAS,"3,869","23,005",16.82%,0,L,KLH,0
Johor,N.15,MAHARANI,DATO' ASHARI MD.SARIP,BN,"6,731","23,005",29.26%,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,NA'IM BIN JUSRI,PKR,"7,848","19,016",41.27%,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,CIKGU HJ CHEMAN BIN YUSOH,PAS,"3,146","19,016",16.54%,0,L,KLH,0
Johor,N.16,SUNGAI BALANG,ZAITON BINTI ISMAIL,BN,"8,022","19,016",42.19%,1,P,MNG,0
Johor,N.17,SEMERAH,USTAZ WAN,PAS,"4,314","29,454",14.65%,0,L,KLH,0
Johor,N.17,SEMERAH,MOHD ISMAIL BIN ROSLAN,BN,"12,521","29,454",42.51%,0,L,KLH,0
Johor,N.17,SEMERAH,KHUZZAN ABU BAKAR,PKR,"12,619","29,454",42.84%,1,L,MNG,0
Johor,N.18,SRI MEDAN,ZULKURNAIN BIN KAMISAN,BN,"11,587","20,372",56.88%,1,L,MNG,0
Johor,N.18,SRI MEDAN,MOHD AJIB BIN OMAR,PKR,"5,547","20,372",27.23%,0,L,KLH,0
Johor,N.18,SRI MEDAN,SALLEHUDIN BIN AB. RASID,PAS,"3,238","20,372",15.89%,0,L,KLH,USAHAWAN
Johor,N.19,YONG PENG,MUHAMMAD BIN ABDULLAH,PAS,"1,243","20,768",5.99%,0,L,HD,0
Johor,N.19,YONG PENG,CHEW PECK CHOO,PKR,"12,307","20,768",59.26%,1,P,MNG,0
Johor,N.19,YONG PENG,LING TIAN SOON (AH SOON),BN,"7,218","20,768",34.76%,0,L,KLH,0
Johor,N.20,SEMARANG,DATUK HJ. SAMSOLBARI,BN,"10,751","18,083",59.45%,1,L,MNG,0
Johor,N.20,SEMARANG,ZAIS BIN MOHD AKIL,PKR,"4,909","18,083",27.15%,0,L,KLH,0
Johor,N.20,SEMARANG,HAJI MOHD BAKRI SAMIAN,PAS,"2,423","18,083",13.40%,0,L,KLH,0
Johor,N.21,PARIT YAANI,SOH LIP YAN,BN,"7,475","22,727",32.89%,0,L,KLH,0
Johor,N.21,PARIT YAANI,CIKGU HAJI NASIR,PAS,"2,943","22,727",12.95%,0,L,KLH,0
Johor,N.21,PARIT YAANI,CIKGU AMINOLHUDA,PKR,"12,309","22,727",54.16%,1,L,MNG,0
Johor,N.22,PARIT RAJA,CIKGU ABDUL HADI BIN HARUN,PAS,"3,106","21,566",14.40%,0,L,KLH,0
Johor,N.22,PARIT RAJA,FERDAUS BIN KAYAU,PKR,"8,911","21,566",41.32%,0,L,KLH,0
