School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Sabah,Kota Belud,2018,Vocational College,Male,
Secondary school,Sabah,Kota Belud,2018,Vocational College,Female,
Secondary school,Sabah,Kota Kinabalu,2017,Academic,Male,12760
Secondary school,Sabah,Kota Kinabalu,2017,Academic,Female,13714
Secondary school,Sabah,Kota Kinabalu,2017,Vocational College,Male,598
Secondary school,Sabah,Kota Kinabalu,2017,Vocational College,Female,270
Secondary school,Sabah,Kota Kinabalu,2018,Academic,Male,12511
Secondary school,Sabah,Kota Kinabalu,2018,Academic,Female,13569
Secondary school,Sabah,Kota Kinabalu,2018,Vocational College,Male,596
Secondary school,Sabah,Kota Kinabalu,2018,Vocational College,Female,267
Secondary school,Sabah,Kota Marudu,2017,Academic,Male,3394
Secondary school,Sabah,Kota Marudu,2017,Academic,Female,3802
Secondary school,Sabah,Kota Marudu,2017,Vocational College,Male,
Secondary school,Sabah,Kota Marudu,2017,Vocational College,Female,
Secondary school,Sabah,Kota Marudu,2018,Academic,Male,3381
Secondary school,Sabah,Kota Marudu,2018,Academic,Female,3740
Secondary school,Sabah,Kota Marudu,2018,Vocational College,Male,
Secondary school,Sabah,Kota Marudu,2018,Vocational College,Female,
Secondary school,Sabah,Kuala Penyu,2017,Academic,Male,837
Secondary school,Sabah,Kuala Penyu,2017,Academic,Female,958
Secondary school,Sabah,Kuala Penyu,2017,Vocational College,Male,
Secondary school,Sabah,Kuala Penyu,2017,Vocational College,Female,
Secondary school,Sabah,Kuala Penyu,2018,Academic,Male,831
Secondary school,Sabah,Kuala Penyu,2018,Academic,Female,920
Secondary school,Sabah,Kuala Penyu,2018,Vocational College,Male,
Secondary school,Sabah,Kuala Penyu,2018,Vocational College,Female,
Secondary school,Sabah,Kudat,2017,Academic,Male,3714
Secondary school,Sabah,Kudat,2017,Academic,Female,4121
Secondary school,Sabah,Kudat,2017,Vocational College,Male,652
Secondary school,Sabah,Kudat,2017,Vocational College,Female,222
Secondary school,Sabah,Kudat,2018,Academic,Male,3769
Secondary school,Sabah,Kudat,2018,Academic,Female,4079
Secondary school,Sabah,Kudat,2018,Vocational College,Male,614
Secondary school,Sabah,Kudat,2018,Vocational College,Female,262
Secondary school,Sabah,Kunak,2017,Academic,Male,1670
Secondary school,Sabah,Kunak,2017,Academic,Female,1753
Secondary school,Sabah,Kunak,2017,Vocational College,Male,
Secondary school,Sabah,Kunak,2017,Vocational College,Female,
Secondary school,Sabah,Kunak,2018,Academic,Male,1574
Secondary school,Sabah,Kunak,2018,Academic,Female,1731
Secondary school,Sabah,Kunak,2018,Vocational College,Male,
Secondary school,Sabah,Kunak,2018,Vocational College,Female,
Secondary school,Sabah,Labuk & Sagut,2017,Academic,Male,1833
Secondary school,Sabah,Labuk & Sagut,2017,Academic,Female,1996
Secondary school,Sabah,Labuk & Sagut,2017,Vocational College,Male,
Secondary school,Sabah,Labuk & Sagut,2017,Vocational College,Female,
Secondary school,Sabah,Labuk & Sagut,2018,Academic,Male,1874
Secondary school,Sabah,Labuk & Sagut,2018,Academic,Female,1964
Secondary school,Sabah,Labuk & Sagut,2018,Vocational College,Male,
Secondary school,Sabah,Labuk & Sagut,2018,Vocational College,Female,
Secondary school,Sabah,Lahad Datu,2017,Academic,Male,5657
Secondary school,Sabah,Lahad Datu,2017,Academic,Female,5877
Secondary school,Sabah,Lahad Datu,2017,Vocational College,Male,454
Secondary school,Sabah,Lahad Datu,2017,Vocational College,Female,321
Secondary school,Sabah,Lahad Datu,2018,Academic,Male,5619
Secondary school,Sabah,Lahad Datu,2018,Academic,Female,5974
Secondary school,Sabah,Lahad Datu,2018,Vocational College,Male,468
Secondary school,Sabah,Lahad Datu,2018,Vocational College,Female,287
Secondary school,Sabah,Papar,2017,Academic,Male,4897
Secondary school,Sabah,Papar,2017,Academic,Female,5152
Secondary school,Sabah,Papar,2017,Vocational College,Male,
Secondary school,Sabah,Papar,2017,Vocational College,Female,
Secondary school,Sabah,Papar,2018,Academic,Male,4871
Secondary school,Sabah,Papar,2018,Academic,Female,5060
Secondary school,Sabah,Papar,2018,Vocational College,Male,
Secondary school,Sabah,Papar,2018,Vocational College,Female,
Secondary school,Sabah,Penampang,2017,Academic,Male,4567
Secondary school,Sabah,Penampang,2017,Academic,Female,4319
Secondary school,Sabah,Penampang,2017,Vocational College,Male,
Secondary school,Sabah,Penampang,2017,Vocational College,Female,
Secondary school,Sabah,Penampang,2018,Academic,Male,4574
Secondary school,Sabah,Penampang,2018,Academic,Female,4344
Secondary school,Sabah,Penampang,2018,Vocational College,Male,
Secondary school,Sabah,Penampang,2018,Vocational College,Female,
Secondary school,Sabah,Pensiang ,2017,Academic,Male,1369
Secondary school,Sabah,Pensiang ,2017,Academic,Female,1555
Secondary school,Sabah,Pensiang ,2017,Vocational College,Male,
Secondary school,Sabah,Pensiang ,2017,Vocational College,Female,
Secondary school,Sabah,Pensiang ,2018,Academic,Male,1396
Secondary school,Sabah,Pensiang ,2018,Academic,Female,1585
Secondary school,Sabah,Pensiang ,2018,Vocational College,Male,
Secondary school,Sabah,Pensiang ,2018,Vocational College,Female,
Secondary school,Sabah,Pitas ,2017,Academic,Male,2150
Secondary school,Sabah,Pitas ,2017,Academic,Female,2378
Secondary school,Sabah,Pitas ,2017,Vocational College,Male,
Secondary school,Sabah,Pitas ,2017,Vocational College,Female,
Secondary school,Sabah,Pitas ,2018,Academic,Male,2149
Secondary school,Sabah,Pitas ,2018,Academic,Female,2288
Secondary school,Sabah,Pitas ,2018,Vocational College,Male,
Secondary school,Sabah,Pitas ,2018,Vocational College,Female,
Secondary school,Sabah,Ranau,2017,Academic,Male,4088
Secondary school,Sabah,Ranau,2017,Academic,Female,4397
Secondary school,Sabah,Ranau,2017,Vocational College,Male,
Secondary school,Sabah,Ranau,2017,Vocational College,Female,
Secondary school,Sabah,Ranau,2018,Academic,Male,4059
Secondary school,Sabah,Ranau,2018,Academic,Female,4414
Secondary school,Sabah,Ranau,2018,Vocational College,Male,
Secondary school,Sabah,Ranau,2018,Vocational College,Female,
Secondary school,Sabah,Sandakan,2017,Academic,Male,10025
Secondary school,Sabah,Sandakan,2017,Academic,Female,10472
Secondary school,Sabah,Sandakan,2017,Vocational College,Male,220
Secondary school,Sabah,Sandakan,2017,Vocational College,Female,124
Secondary school,Sabah,Sandakan,2018,Academic,Male,9915
Secondary school,Sabah,Sandakan,2018,Academic,Female,10523
Secondary school,Sabah,Sandakan,2018,Vocational College,Male,206
Secondary school,Sabah,Sandakan,2018,Vocational College,Female,107
Secondary school,Sabah,Semporna,2017,Academic,Male,5305
Secondary school,Sabah,Semporna,2017,Academic,Female,5707
Secondary school,Sabah,Semporna,2017,Vocational College,Male,
Secondary school,Sabah,Semporna,2017,Vocational College,Female,
Secondary school,Sabah,Semporna,2018,Academic,Male,5366
Secondary school,Sabah,Semporna,2018,Academic,Female,5702
Secondary school,Sabah,Semporna,2018,Vocational College,Male,
Secondary school,Sabah,Semporna,2018,Vocational College,Female,
Secondary school,Sabah,Sipitang,2017,Academic,Male,1373
Secondary school,Sabah,Sipitang,2017,Academic,Female,1344
Secondary school,Sabah,Sipitang,2017,Vocational College,Male,
Secondary school,Sabah,Sipitang,2017,Vocational College,Female,
Secondary school,Sabah,Sipitang,2018,Academic,Male,1314
Secondary school,Sabah,Sipitang,2018,Academic,Female,1332
Secondary school,Sabah,Sipitang,2018,Vocational College,Male,
Secondary school,Sabah,Sipitang,2018,Vocational College,Female,
Secondary school,Sabah,Tambunan,2017,Academic,Male,1632
Secondary school,Sabah,Tambunan,2017,Academic,Female,1660
Secondary school,Sabah,Tambunan,2017,Vocational College,Male,
Secondary school,Sabah,Tambunan,2017,Vocational College,Female,
Secondary school,Sabah,Tambunan,2018,Academic,Male,1609
Secondary school,Sabah,Tambunan,2018,Academic,Female,1674
Secondary school,Sabah,Tambunan,2018,Vocational College,Male,
Secondary school,Sabah,Tambunan,2018,Vocational College,Female,
Secondary school,Sabah,Tawau,2017,Academic,Male,9861
Secondary school,Sabah,Tawau,2017,Academic,Female,10199
Secondary school,Sabah,Tawau,2017,Vocational College,Male,573
Secondary school,Sabah,Tawau,2017,Vocational College,Female,418
Secondary school,Sabah,Tawau,2018,Academic,Male,9851
Secondary school,Sabah,Tawau,2018,Academic,Female,10141
Secondary school,Sabah,Tawau,2018,Vocational College,Male,503
Secondary school,Sabah,Tawau,2018,Vocational College,Female,387
Secondary school,Sabah,Tenom,2017,Academic,Male,2382
Secondary school,Sabah,Tenom,2017,Academic,Female,2484
Secondary school,Sabah,Tenom,2017,Vocational College,Male,
Secondary school,Sabah,Tenom,2017,Vocational College,Female,
Secondary school,Sabah,Tenom,2018,Academic,Male,2312
Secondary school,Sabah,Tenom,2018,Academic,Female,2455
Secondary school,Sabah,Tenom,2018,Vocational College,Male,
Secondary school,Sabah,Tenom,2018,Vocational College,Female,
Secondary school,Sabah,Tonggod,2017,Academic,Male,1831
Secondary school,Sabah,Tonggod,2017,Academic,Female,2053
Secondary school,Sabah,Tonggod,2017,Vocational College,Male,
Secondary school,Sabah,Tonggod,2017,Vocational College,Female,
Secondary school,Sabah,Tonggod,2018,Academic,Male,1859
Secondary school,Sabah,Tonggod,2018,Academic,Female,2061
Secondary school,Sabah,Tonggod,2018,Vocational College,Male,
Secondary school,Sabah,Tonggod,2018,Vocational College,Female,
Secondary school,Sabah,Tuaran,2017,Academic,Male,4796
Secondary school,Sabah,Tuaran,2017,Academic,Female,5149
Secondary school,Sabah,Tuaran,2017,Vocational College,Male,
Secondary school,Sabah,Tuaran,2017,Vocational College,Female,
Secondary school,Sabah,Tuaran,2018,Academic,Male,4801
Secondary school,Sabah,Tuaran,2018,Academic,Female,5147
Secondary school,Sabah,Tuaran,2018,Vocational College,Male,
Secondary school,Sabah,Tuaran,2018,Vocational College,Female,
Secondary school,Negeri Sembilan,Jelebu,2017,Academic,Male,5954
Secondary school,Negeri Sembilan,Jelebu,2017,Academic,Female,6310
Secondary school,Negeri Sembilan,Jelebu,2017,Vocational College,Male,368
Secondary school,Negeri Sembilan,Jelebu,2017,Vocational College,Female,239
Secondary school,Negeri Sembilan,Jelebu,2018,Academic,Male,5578
Secondary school,Negeri Sembilan,Jelebu,2018,Academic,Female,6057
Secondary school,Negeri Sembilan,Jelebu,2018,Vocational College,Male,395
Secondary school,Negeri Sembilan,Jelebu,2018,Vocational College,Female,230
Secondary school,Negeri Sembilan,Kuala Pilah,2017,Academic,Male,2934
Secondary school,Negeri Sembilan,Kuala Pilah,2017,Academic,Female,2854
Secondary school,Negeri Sembilan,Kuala Pilah,2017,Vocational College,Male,702
Secondary school,Negeri Sembilan,Kuala Pilah,2017,Vocational College,Female,252
Secondary school,Negeri Sembilan,Kuala Pilah,2018,Academic,Male,2874
Secondary school,Negeri Sembilan,Kuala Pilah,2018,Academic,Female,2772
Secondary school,Negeri Sembilan,Kuala Pilah,2018,Vocational College,Male,655
Secondary school,Negeri Sembilan,Kuala Pilah,2018,Vocational College,Female,211
Secondary school,Negeri Sembilan,Port Dickson,2017,Academic,Male,4331
Secondary school,Negeri Sembilan,Port Dickson,2017,Academic,Female,4551
Secondary school,Negeri Sembilan,Port Dickson,2017,Vocational College,Male,763
Secondary school,Negeri Sembilan,Port Dickson,2017,Vocational College,Female,340
Secondary school,Negeri Sembilan,Port Dickson,2018,Academic,Male,4228
Secondary school,Negeri Sembilan,Port Dickson,2018,Academic,Female,4403
Secondary school,Negeri Sembilan,Port Dickson,2018,Vocational College,Male,747
Secondary school,Negeri Sembilan,Port Dickson,2018,Vocational College,Female,336
Secondary school,Negeri Sembilan,Rembau,2017,Academic,Male,2444
Secondary school,Negeri Sembilan,Rembau,2017,Academic,Female,2748
Secondary school,Negeri Sembilan,Rembau,2017,Vocational College,Male,454
Secondary school,Negeri Sembilan,Rembau,2017,Vocational College,Female,653
Secondary school,Negeri Sembilan,Rembau,2018,Academic,Male,2471
Secondary school,Negeri Sembilan,Rembau,2018,Academic,Female,2740
Secondary school,Negeri Sembilan,Rembau,2018,Vocational College,Male,427
Secondary school,Negeri Sembilan,Rembau,2018,Vocational College,Female,638
Secondary school,Negeri Sembilan,Seremban,2017,Academic,Male,22105
Secondary school,Negeri Sembilan,Seremban,2017,Academic,Female,23175
Secondary school,Negeri Sembilan,Seremban,2017,Vocational College,Male,739
Secondary school,Negeri Sembilan,Seremban,2017,Vocational College,Female,104
Secondary school,Negeri Sembilan,Seremban,2018,Academic,Male,21824
Secondary school,Negeri Sembilan,Seremban,2018,Academic,Female,22727
Secondary school,Negeri Sembilan,Seremban,2018,Vocational College,Male,716
Secondary school,Negeri Sembilan,Seremban,2018,Vocational College,Female,77
Secondary school,Negeri Sembilan,Tampin,2017,Academic,Male,3256
Secondary school,Negeri Sembilan,Tampin,2017,Academic,Female,3452
Secondary school,Negeri Sembilan,Tampin,2017,Vocational College,Male,
Secondary school,Negeri Sembilan,Tampin,2017,Vocational College,Female,
Secondary school,Negeri Sembilan,Tampin,2018,Academic,Male,3124
Secondary school,Negeri Sembilan,Tampin,2018,Academic,Female,3371
Secondary school,Negeri Sembilan,Tampin,2018,Vocational College,Male,
Secondary school,Negeri Sembilan,Tampin,2018,Vocational College,Female,
Secondary school,Kelantan ,Bachok ,2017,Academic,Male,6332
Secondary school,Kelantan ,Bachok ,2017,Academic,Female,6711
Secondary school,Kelantan ,Bachok ,2017,Vocational College,Male,139
Secondary school,Kelantan ,Bachok ,2017,Vocational College,Female,292
Secondary school,Kelantan ,Bachok ,2018,Academic,Male,6135
Secondary school,Kelantan ,Bachok ,2018,Academic,Female,6533
Secondary school,Kelantan ,Bachok ,2018,Vocational College,Male,120
Secondary school,Kelantan ,Bachok ,2018,Vocational College,Female,278
Secondary school,Kelantan ,Gua Musang,2017,Academic,Male,3320
Secondary school,Kelantan ,Gua Musang,2017,Academic,Female,3743
Secondary school,Kelantan ,Gua Musang,2017,Vocational College,Male,
Secondary school,Kelantan ,Gua Musang,2017,Vocational College,Female,
Secondary school,Kelantan ,Gua Musang,2018,Academic,Male,3217
Secondary school,Kelantan ,Gua Musang,2018,Academic,Female,3588
Secondary school,Kelantan ,Gua Musang,2018,Vocational College,Male,
Secondary school,Kelantan ,Gua Musang,2018,Vocational College,Female,
Secondary school,Kelantan ,Jeli,2017,Academic,Male,1728
Secondary school,Kelantan ,Jeli,2017,Academic,Female,1857
Secondary school,Kelantan ,Jeli,2017,Vocational College,Male,
Secondary school,Kelantan ,Jeli,2017,Vocational College,Female,
Secondary school,Kelantan ,Jeli,2018,Academic,Male,1725
Secondary school,Kelantan ,Jeli,2018,Academic,Female,1830
Secondary school,Kelantan ,Jeli,2018,Vocational College,Male,
Secondary school,Kelantan ,Jeli,2018,Vocational College,Female,
Secondary school,Kelantan ,Kota Bharu,2017,Academic,Male,17925
Secondary school,Kelantan ,Kota Bharu,2017,Academic,Female,19350
Secondary school,Kelantan ,Kota Bharu,2017,Vocational College,Male,578
Secondary school,Kelantan ,Kota Bharu,2017,Vocational College,Female,151
Secondary school,Kelantan ,Kota Bharu,2018,Academic,Male,17101
Secondary school,Kelantan ,Kota Bharu,2018,Academic,Female,18736
Secondary school,Kelantan ,Kota Bharu,2018,Vocational College,Male,562
Secondary school,Kelantan ,Kota Bharu,2018,Vocational College,Female,131
Secondary school,Kelantan ,Kuala Krai,2017,Academic,Male,4144
Secondary school,Kelantan ,Kuala Krai,2017,Academic,Female,4350
Secondary school,Kelantan ,Kuala Krai,2017,Vocational College,Male,737
Secondary school,Kelantan ,Kuala Krai,2017,Vocational College,Female,188
Secondary school,Kelantan ,Kuala Krai,2018,Academic,Male,3923
Secondary school,Kelantan ,Kuala Krai,2018,Academic,Female,4194
Secondary school,Kelantan ,Kuala Krai,2018,Vocational College,Male,681
Secondary school,Kelantan ,Kuala Krai,2018,Vocational College,Female,187
Secondary school,Kelantan ,Machang,2017,Academic,Male,4017
Secondary school,Kelantan ,Machang,2017,Academic,Female,4284
Secondary school,Kelantan ,Machang,2017,Vocational College,Male,
Secondary school,Kelantan ,Machang,2017,Vocational College,Female,
Secondary school,Kelantan ,Machang,2018,Academic,Male,3778
Secondary school,Kelantan ,Machang,2018,Academic,Female,4059
Secondary school,Kelantan ,Machang,2018,Vocational College,Male,
Secondary school,Kelantan ,Machang,2018,Vocational College,Female,
Secondary school,Kelantan ,Pasir Mas,2017,Academic,Male,7621
Secondary school,Kelantan ,Pasir Mas,2017,Academic,Female,8334
Secondary school,Kelantan ,Pasir Mas,2017,Vocational College,Male,259
Secondary school,Kelantan ,Pasir Mas,2017,Vocational College,Female,452
Secondary school,Kelantan ,Pasir Mas,2018,Academic,Male,7247
Secondary school,Kelantan ,Pasir Mas,2018,Academic,Female,8051
Secondary school,Kelantan ,Pasir Mas,2018,Vocational College,Male,215
Secondary school,Kelantan ,Pasir Mas,2018,Vocational College,Female,403
Secondary school,Kelantan ,Pasir Puteh,2017,Academic,Male,4871
Secondary school,Kelantan ,Pasir Puteh,2017,Academic,Female,5853
Secondary school,Kelantan ,Pasir Puteh,2017,Vocational College,Male,
Secondary school,Kelantan ,Pasir Puteh,2017,Vocational College,Female,
Secondary school,Kelantan ,Pasir Puteh,2018,Academic,Male,4712
Secondary school,Kelantan ,Pasir Puteh,2018,Academic,Female,5752
Secondary school,Kelantan ,Pasir Puteh,2018,Vocational College,Male,29
Secondary school,Kelantan ,Pasir Puteh,2018,Vocational College,Female,21
Secondary school,Kelantan ,Tanah Merah,2017,Academic,Male,4831
Secondary school,Kelantan ,Tanah Merah,2017,Academic,Female,5112
Secondary school,Kelantan ,Tanah Merah,2017,Vocational College,Male,754
Secondary school,Kelantan ,Tanah Merah,2017,Vocational College,Female,579
Secondary school,Kelantan ,Tanah Merah,2018,Academic,Male,4605
Secondary school,Kelantan ,Tanah Merah,2018,Academic,Female,4935
Secondary school,Kelantan ,Tanah Merah,2018,Vocational College,Male,703
Secondary school,Kelantan ,Tanah Merah,2018,Vocational College,Female,535
Secondary school,Kelantan ,Tumpat,2017,Academic,Male,5843
Secondary school,Kelantan ,Tumpat,2017,Academic,Female,6017
Secondary school,Kelantan ,Tumpat,2017,Vocational College,Male,
Secondary school,Kelantan ,Tumpat,2017,Vocational College,Female,
Secondary school,Kelantan ,Tumpat,2018,Academic,Male,5620
Secondary school,Kelantan ,Tumpat,2018,Academic,Female,5880
Secondary school,Kelantan ,Tumpat,2018,Vocational College,Male,
Secondary school,Kelantan ,Tumpat,2018,Vocational College,Female,
Secondary school,Johor,Batu Pahat,2017,Academic,Male,15540
Secondary school,Johor,Batu Pahat,2017,Academic,Female,16653
Secondary school,Johor,Batu Pahat,2017,Vocational College,Male,678
Secondary school,Johor,Batu Pahat,2017,Vocational College,Female,126
Secondary school,Johor,Batu Pahat,2018,Academic,Male,14947
Secondary school,Johor,Batu Pahat,2018,Academic,Female,15961
Secondary school,Johor,Batu Pahat,2018,Vocational College,Male,671
Secondary school,Johor,Batu Pahat,2018,Vocational College,Female,126
Secondary school,Johor,Johor Bahru,2017,Academic,Male,23685
Secondary school,Johor,Johor Bahru,2017,Academic,Female,25146
Secondary school,Johor,Johor Bahru,2017,Vocational College,Male,722
Secondary school,Johor,Johor Bahru,2017,Vocational College,Female,1035
Secondary school,Johor,Johor Bahru,2018,Academic,Male,23297
Secondary school,Johor,Johor Bahru,2018,Academic,Female,24522
Secondary school,Johor,Johor Bahru,2018,Vocational College,Male,699
Secondary school,Johor,Johor Bahru,2018,Vocational College,Female,1025
Secondary school,Johor,Kluang,2017,Academic,Male,10521
Secondary school,Johor,Kluang,2017,Academic,Female,10892
Secondary school,Johor,Kluang,2017,Vocational College,Male,725
Secondary school,Johor,Kluang,2017,Vocational College,Female,301
Secondary school,Johor,Kluang,2018,Academic,Male,10021
Secondary school,Johor,Kluang,2018,Academic,Female,10376
Secondary school,Johor,Kluang,2018,Vocational College,Male,666
Secondary school,Johor,Kluang,2018,Vocational College,Female,264
Secondary school,Johor,Kota Tinggi,2017,Academic,Male,7462
Secondary school,Johor,Kota Tinggi,2017,Academic,Female,7805
Secondary school,Johor,Kota Tinggi,2017,Vocational College,Male,717
Secondary school,Johor,Kota Tinggi,2017,Vocational College,Female,80
Secondary school,Johor,Kota Tinggi,2018,Academic,Male,7208
Secondary school,Johor,Kota Tinggi,2018,Academic,Female,7447
Secondary school,Johor,Kota Tinggi,2018,Vocational College,Male,669
Secondary school,Johor,Kota Tinggi,2018,Vocational College,Female,84
Secondary school,Johor,Kulai,2017,Academic,Male,11395
Secondary school,Johor,Kulai,2017,Academic,Female,11644
Secondary school,Johor,Kulai,2017,Vocational College,Male,
Secondary school,Johor,Kulai,2017,Vocational College,Female,
Secondary school,Johor,Kulai,2018,Academic,Male,11212
Secondary school,Johor,Kulai,2018,Academic,Female,11399
Secondary school,Johor,Kulai,2018,Vocational College,Male,
Secondary school,Johor,Kulai,2018,Vocational College,Female,
Secondary school,Johor,Mersing,2017,Academic,Male,2964
Secondary school,Johor,Mersing,2017,Academic,Female,3144
Secondary school,Johor,Mersing,2017,Vocational College,Male,
Secondary school,Johor,Mersing,2017,Vocational College,Female,
Secondary school,Johor,Mersing,2018,Academic,Male,2848
Secondary school,Johor,Mersing,2018,Academic,Female,3053
Secondary school,Johor,Mersing,2018,Vocational College,Male,
Secondary school,Johor,Mersing,2018,Vocational College,Female,
Secondary school,Johor,Muar,2017,Academic,Male,9492
Secondary school,Johor,Muar,2017,Academic,Female,9805
Secondary school,Johor,Muar,2017,Vocational College,Male,578
Secondary school,Johor,Muar,2017,Vocational College,Female,336
Secondary school,Johor,Muar,2018,Academic,Male,9306
Secondary school,Johor,Muar,2018,Academic,Female,9463
Secondary school,Johor,Muar,2018,Vocational College,Male,508
Secondary school,Johor,Muar,2018,Vocational College,Female,291
Secondary school,Johor,Pasir Gudang ,2017,Academic,Male,24046
Secondary school,Johor,Pasir Gudang ,2017,Academic,Female,24344
Secondary school,Johor,Pasir Gudang ,2017,Vocational College,Male,
Secondary school,Johor,Pasir Gudang ,2017,Vocational College,Female,
Secondary school,Johor,Pasir Gudang ,2018,Academic,Male,23629
Secondary school,Johor,Pasir Gudang ,2018,Academic,Female,23932
Secondary school,Johor,Pasir Gudang ,2018,Vocational College,Male,
Secondary school,Johor,Pasir Gudang ,2018,Vocational College,Female,
Secondary school,Johor,Pontian,2017,Academic,Male,6981
Secondary school,Johor,Pontian,2017,Academic,Female,7323
Secondary school,Johor,Pontian,2017,Vocational College,Male,
Secondary school,Johor,Pontian,2017,Vocational College,Female,
Secondary school,Johor,Pontian,2018,Academic,Male,6687
Secondary school,Johor,Pontian,2018,Academic,Female,7099
Secondary school,Johor,Pontian,2018,Vocational College,Male,
Secondary school,Johor,Pontian,2018,Vocational College,Female,
Secondary school,Johor,Segamat,2017,Academic,Male,7495
Secondary school,Johor,Segamat,2017,Academic,Female,8030
Secondary school,Johor,Segamat,2017,Vocational College,Male,571
Secondary school,Johor,Segamat,2017,Vocational College,Female,104
Secondary school,Johor,Segamat,2018,Academic,Male,7011
Secondary school,Johor,Segamat,2018,Academic,Female,7686
Secondary school,Johor,Segamat,2018,Vocational College,Male,552
Secondary school,Johor,Segamat,2018,Vocational College,Female,91
Secondary school,Johor,Tangkak,2017,Academic,Male,5652
Secondary school,Johor,Tangkak,2017,Academic,Female,6077
Secondary school,Johor,Tangkak,2017,Vocational College,Male,
Secondary school,Johor,Tangkak,2017,Vocational College,Female,
Secondary school,Johor,Tangkak,2018,Academic,Male,5363
Secondary school,Johor,Tangkak,2018,Academic,Female,5787
Secondary school,Johor,Tangkak,2018,Vocational College,Male,
Secondary school,Johor,Tangkak,2018,Vocational College,Female,
Secondary school,Pahang,Bentong,2017,Academic,Male,3678
Secondary school,Pahang,Bentong,2017,Academic,Female,3917
Secondary school,Pahang,Bentong,2017,Vocational College,Male,535
Secondary school,Pahang,Bentong,2017,Vocational College,Female,170
Secondary school,Pahang,Bentong,2018,Academic,Male,3635
Secondary school,Pahang,Bentong,2018,Academic,Female,3742
Secondary school,Pahang,Bentong,2018,Vocational College,Male,528
Secondary school,Pahang,Bentong,2018,Vocational College,Female,165
Secondary school,Pahang,Bera,2017,Academic,Male,2886
Secondary school,Pahang,Bera,2017,Academic,Female,2995
Secondary school,Pahang,Bera,2017,Vocational College,Male,
Secondary school,Pahang,Bera,2017,Vocational College,Female,
Secondary school,Pahang,Bera,2018,Academic,Male,2846
Secondary school,Pahang,Bera,2018,Academic,Female,2951
Secondary school,Pahang,Bera,2018,Vocational College,Male,
Secondary school,Pahang,Bera,2018,Vocational College,Female,
Secondary school,Pahang,Cameron Highlands,2017,Academic,Male,987
Secondary school,Pahang,Cameron Highlands,2017,Academic,Female,1146
Secondary school,Pahang,Cameron Highlands,2017,Vocational College,Male,
Secondary school,Pahang,Cameron Highlands,2017,Vocational College,Female,
Secondary school,Pahang,Cameron Highlands,2018,Academic,Male,998
Secondary school,Pahang,Cameron Highlands,2018,Academic,Female,1098
Secondary school,Pahang,Cameron Highlands,2018,Vocational College,Male,
Secondary school,Pahang,Cameron Highlands,2018,Vocational College,Female,
Secondary school,Pahang,Jerantut,2017,Academic,Male,3593
Secondary school,Pahang,Jerantut,2017,Academic,Female,3773
Secondary school,Pahang,Jerantut,2017,Vocational College,Male,
Secondary school,Pahang,Jerantut,2017,Vocational College,Female,
Secondary school,Pahang,Jerantut,2018,Academic,Male,3424
Secondary school,Pahang,Jerantut,2018,Academic,Female,3587
Secondary school,Pahang,Jerantut,2018,Vocational College,Male,
Secondary school,Pahang,Jerantut,2018,Vocational College,Female,
Secondary school,Pahang,Kuala Lipis,2017,Academic,Male,2847
Secondary school,Pahang,Kuala Lipis,2017,Academic,Female,2964
Secondary school,Pahang,Kuala Lipis,2017,Vocational College,Male,504
Secondary school,Pahang,Kuala Lipis,2017,Vocational College,Female,96
Secondary school,Pahang,Kuala Lipis,2018,Academic,Male,2716
Secondary school,Pahang,Kuala Lipis,2018,Academic,Female,2891
Secondary school,Pahang,Kuala Lipis,2018,Vocational College,Male,441
Secondary school,Pahang,Kuala Lipis,2018,Vocational College,Female,92
Secondary school,Pahang,Kuantan,2017,Academic,Male,16049
Secondary school,Pahang,Kuantan,2017,Academic,Female,16529
Secondary school,Pahang,Kuantan,2017,Vocational College,Male,665
Secondary school,Pahang,Kuantan,2017,Vocational College,Female,260
Secondary school,Pahang,Kuantan,2018,Academic,Male,15925
Secondary school,Pahang,Kuantan,2018,Academic,Female,16117
Secondary school,Pahang,Kuantan,2018,Vocational College,Male,622
Secondary school,Pahang,Kuantan,2018,Vocational College,Female,238
Secondary school,Pahang,Maran,2017,Academic,Male,3591
Secondary school,Pahang,Maran,2017,Academic,Female,3790
Secondary school,Pahang,Maran,2017,Vocational College,Male,420
Secondary school,Pahang,Maran,2017,Vocational College,Female,313
Secondary school,Pahang,Maran,2018,Academic,Male,3469
Secondary school,Pahang,Maran,2018,Academic,Female,3757
Secondary school,Pahang,Maran,2018,Vocational College,Male,344
Secondary school,Pahang,Maran,2018,Vocational College,Female,253
Secondary school,Pahang,Pekan,2017,Academic,Male,4428
Secondary school,Pahang,Pekan,2017,Academic,Female,4551
Secondary school,Pahang,Pekan,2017,Vocational College,Male,
Secondary school,Pahang,Pekan,2017,Vocational College,Female,
Secondary school,Pahang,Pekan,2018,Academic,Male,4288
Secondary school,Pahang,Pekan,2018,Academic,Female,4468
Secondary school,Pahang,Pekan,2018,Vocational College,Male,
Secondary school,Pahang,Pekan,2018,Vocational College,Female,
Secondary school,Pahang,Raub,2017,Academic,Male,2878
Secondary school,Pahang,Raub,2017,Academic,Female,3123
Secondary school,Pahang,Raub,2017,Vocational College,Male,
Secondary school,Pahang,Raub,2017,Vocational College,Female,
