School stage,State,District Education Office,Year,School type,Sex,Number of pupils
Secondary school,Sarawak,Julau,2018,Academic,Male,1056
Secondary school,Sarawak,Julau,2018,Academic,Female,1161
Secondary school,Sarawak,Julau,2018,Vocational College,Male,
Secondary school,Sarawak,Julau,2018,Vocational College,Female,
Secondary school,Sarawak,Kanowit,2017,Academic,Male,1159
Secondary school,Sarawak,Kanowit,2017,Academic,Female,1209
Secondary school,Sarawak,Kanowit,2017,Vocational College,Male,
Secondary school,Sarawak,Kanowit,2017,Vocational College,Female,
Secondary school,Sarawak,Kanowit,2018,Academic,Male,1142
Secondary school,Sarawak,Kanowit,2018,Academic,Female,1209
Secondary school,Sarawak,Kanowit,2018,Vocational College,Male,
Secondary school,Sarawak,Kanowit,2018,Vocational College,Female,
Secondary school,Sarawak,Kapit,2017,Academic,Male,2165
Secondary school,Sarawak,Kapit,2017,Academic,Female,2496
Secondary school,Sarawak,Kapit,2017,Vocational College,Male,
Secondary school,Sarawak,Kapit,2017,Vocational College,Female,
Secondary school,Sarawak,Kapit,2018,Academic,Male,2170
Secondary school,Sarawak,Kapit,2018,Academic,Female,2442
Secondary school,Sarawak,Kapit,2018,Vocational College,Male,
Secondary school,Sarawak,Kapit,2018,Vocational College,Female,
Secondary school,Sarawak,Kuching,2017,Academic,Male,13891
Secondary school,Sarawak,Kuching,2017,Academic,Female,13945
Secondary school,Sarawak,Kuching,2017,Vocational College,Male,377
Secondary school,Sarawak,Kuching,2017,Vocational College,Female,287
Secondary school,Sarawak,Kuching,2018,Academic,Male,13556
Secondary school,Sarawak,Kuching,2018,Academic,Female,13652
Secondary school,Sarawak,Kuching,2018,Vocational College,Male,303
Secondary school,Sarawak,Kuching,2018,Vocational College,Female,236
Secondary school,Sarawak,Lawas,2017,Academic,Male,1456
Secondary school,Sarawak,Lawas,2017,Academic,Female,1485
Secondary school,Sarawak,Lawas,2017,Vocational College,Male,
Secondary school,Sarawak,Lawas,2017,Vocational College,Female,
Secondary school,Sarawak,Lawas,2018,Academic,Male,1400
Secondary school,Sarawak,Lawas,2018,Academic,Female,1438
Secondary school,Sarawak,Lawas,2018,Vocational College,Male,
Secondary school,Sarawak,Lawas,2018,Vocational College,Female,
Secondary school,Sarawak,Limbang,2017,Academic,Male,2123
Secondary school,Sarawak,Limbang,2017,Academic,Female,2335
Secondary school,Sarawak,Limbang,2017,Vocational College,Male,
Secondary school,Sarawak,Limbang,2017,Vocational College,Female,
Secondary school,Sarawak,Limbang,2018,Academic,Male,2149
Secondary school,Sarawak,Limbang,2018,Academic,Female,2297
Secondary school,Sarawak,Limbang,2018,Vocational College,Male,
Secondary school,Sarawak,Limbang,2018,Vocational College,Female,
Secondary school,Sarawak,Lubuk Antu,2017,Academic,Male,844
Secondary school,Sarawak,Lubuk Antu,2017,Academic,Female,996
Secondary school,Sarawak,Lubuk Antu,2017,Vocational College,Male,
Secondary school,Sarawak,Lubuk Antu,2017,Vocational College,Female,
Secondary school,Sarawak,Lubuk Antu,2018,Academic,Male,883
Secondary school,Sarawak,Lubuk Antu,2018,Academic,Female,1020
Secondary school,Sarawak,Lubuk Antu,2018,Vocational College,Male,
Secondary school,Sarawak,Lubuk Antu,2018,Vocational College,Female,
Secondary school,Sarawak,Lundu,2017,Academic,Male,1430
Secondary school,Sarawak,Lundu,2017,Academic,Female,1445
Secondary school,Sarawak,Lundu,2017,Vocational College,Male,
Secondary school,Sarawak,Lundu,2017,Vocational College,Female,
Secondary school,Sarawak,Lundu,2018,Academic,Male,1424
